"Year","VUT production Eora 199.082 (2023)"
1970,0.041500
1971,0.059900
1972,0.063600
1973,0.056300
1974,0.063600
1975,0.056400
1976,0.045400
1977,0.052800
1978,0.060200
1979,0.063900
1980,0.063900
1981,0.052900
1982,0.053000
1983,0.056700
1984,0.056700
1985,0.123000
1986,0.060500
1987,0.049500
1988,0.067900
1989,0.064300
1990,0.068000
1991,0.068100
1992,0.064500
1993,0.064500
1994,0.064600
1995,0.068300
1996,0.086700
1997,0.086800
1998,0.083100
1999,0.086800
2000,0.086900
2001,0.090600
2002,0.087000
2003,0.087100
2004,0.061400
2005,0.061500
2006,0.050500
2007,0.102000
2008,0.098300
2009,0.124000
2010,0.124000
2011,0.135000
2012,0.117000
2013,0.109000
2014,0.157000
2015,0.164000
2016,0.186000
2017,0.192000
2018,0.195977
2019,0.220054
2020,0.234584
2021,0.257506
2022,0.351503
