"Year","LBN production Eora 199.082 (2023)"
1970,9.970000
1971,11.900000
1972,12.800000
1973,13.900000
1974,13.900000
1975,12.500000
1976,12
1977,10.100000
1978,10
1979,12.200000
1980,10.300000
1981,12.200000
1982,10.100000
1983,10.700000
1984,9.690000
1985,10.100000
1986,9.520000
1987,9.570000
1988,9.080000
1989,9.330000
1990,9.330000
1991,9.450000
1992,11.400000
1993,12.700000
1994,13.200000
1995,14.800000
1996,15.100000
1997,16.100000
1998,17.500000
1999,16.800000
2000,15.500000
2001,16.500000
2002,16.400000
2003,18.700000
2004,17.400000
2005,16.900000
2006,15
2007,14
2008,17.700000
2009,21.400000
2010,20.400000
2011,20.700000
2012,22.400000
2013,23.100000
2014,24.700000
2015,18.200000
2016,17.800000
2017,17.700000
2018,17.917110
2019,16.911310
2020,16.175160
2021,16.051160
2022,17.700000
