"Year","ISL production OECDv2","ISL production Eora 199.082 (2023)","ISL production Eurostat NAMEA"
1970,,1.740000,
1971,,1.810000,
1972,,1.910000,
1973,,2.280000,
1974,,2.230000,
1975,,2.040000,
1976,,2.160000,
1977,,2.360000,
1978,,2.340000,
1979,,2.440000,
1980,,2.230000,
1981,,2.060000,
1982,,1.770000,
1983,,1.740000,
1984,,2.080000,
1985,,1.870000,
1986,,1.970000,
1987,,2,
1988,,2.040000,
1989,,2.070000,
1990,,2.240000,
1991,,2.120000,
1992,,2.270000,
1993,,2.430000,
1994,,2.370000,
1995,1.967754,2.470000,2.929872
1996,2.228811,2.520000,3.222262
1997,2.108702,2.620000,3.337157
1998,2.100801,2.640000,3.397926
1999,2.050786,2.850000,3.735182
2000,2.141238,2.940000,3.909563
2001,2.090272,2.870000,3.645974
2002,2.189078,2.990000,3.733977
2003,2.180955,2.980000,3.788485
2004,2.252049,3.100000,3.858023
2005,2.203648,2.970000,3.819730
2006,2.250587,3.150000,3.973635
2007,2.355575,3.500000,4.182985
2008,2.136830,3.800000,4.497220
2009,2.082721,3.730000,4.286943
2010,1.950877,3.620000,4.252113
2011,1.859035,3.490000,4.152160
2012,,3.490000,4.266871
2013,,3.480000,4.615802
2014,,3.460000,4.582270
2015,,3.540000,4.958167
2016,,3.490000,5.620430
2017,,3.620000,5.997182
2018,,4.115950,6.249954
2019,,4.469161,5.305665
2020,,4.712169,4.071602
2021,,4.900028,4.342011
2022,,4.975207,
