"Year","TZA production Eora 199.082 (2023)","TZA production GCB 2023v26"
1970,1.840000,
1971,2.550000,
1972,2.250000,
1973,3.270000,
1974,2.420000,
1975,2.390000,
1976,2.890000,
1977,2.130000,
1978,2.310000,
1979,2.200000,
1980,2,
1981,2.240000,
1982,2.280000,
1983,2.320000,
1984,2.470000,
1985,2.470000,
1986,2.410000,
1987,2.510000,
1988,2.410000,
1989,2.300000,
1990,2.380000,2.112309
1991,2.510000,2.255268
1992,2.420000,2.177588
1993,2.710000,2.426036
1994,2.550000,2.063123
1995,3.630000,2.433890
1996,3.540000,2.526706
1997,2.980000,2.824358
1998,2.630000,2.480937
1999,2.600000,2.458755
2000,2.720000,2.571821
2001,3.180000,3.040810
2002,3.630000,3.485616
2003,3.850000,3.687241
2004,4.410000,4.221283
2005,5.540000,5.355817
2006,6.060000,5.876241
2007,5.900000,5.706146
2008,6.120000,5.911275
2009,5.880000,5.767178
2010,7.040000,6.922992
2011,8.040000,7.523881
2012,9.430000,8.784956
2013,11.100000,9.686995
2014,11.500000,9.198410
2015,11.100000,9.723330
2016,11.600000,10.213532
2017,12.200000,11.233944
2018,13.049920,11.837862
2019,14.118470,13.743298
2020,14.977280,14.168675
2021,15.712300,15.396233
2022,17.179850,
