"Year","CIV production GCB 2023v26","CIV consumption GCB 2023v26"
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,4.781520,5.958195
1991,4.308864,5.580755
1992,3.843536,5.819061
1993,5.092960,6.569601
1994,4.132992,5.449984
1995,6.225337,7.398921
1996,7.526009,7.227697
1997,7.211238,6.867327
1998,6.755485,8.706865
1999,6.091911,6.412831
2000,6.633573,6.991724
2001,7.649681,6.543661
2002,7.450165,5.262522
2003,5.300525,6.427586
2004,7.386261,7.501194
2005,7.564355,7.638542
2006,6.887238,8.023787
2007,6.653270,8.210404
2008,6.712605,8.205363
2009,5.659943,7.121314
2010,6.224746,8.065311
2011,6.523170,7.849696
2012,8.540010,11.188379
2013,9.679770,12.456980
2014,9.903225,13.249062
2015,9.554745,13.107644
2016,11.982747,15.184145
2017,12.001905,15.185308
2018,10.352434,14.831462
2019,10.535081,14.804975
2020,11.018607,14.503291
2021,11.712662,15.724731
2022,,
