"Year","SEN production Eora 199.082 (2023)","SEN production GCB 2023v26","SEN consumption Eora 199.082 (2023)","SEN consumption GCB 2023v26"
1970,1.340000,,0.876645,
1971,1.390000,,0.586996,
1972,1.490000,,0.235684,
1973,1.590000,,0.226227,
1974,1.890000,,0.713538,
1975,2.620000,,1.961759,
1976,1.810000,,1.625149,
1977,2.290000,,2.903238,
1978,2.680000,,3.210733,
1979,2.950000,,4.054512,
1980,3.400000,,4.628918,
1981,3.340000,,4.478007,
1982,3.090000,,3.802422,
1983,2.670000,,2.764542,
1984,3.350000,,3.062443,
1985,2.710000,,3.799958,
1986,2.700000,,0.341424,
1987,2.480000,,-0.212868,
1988,2.780000,,2.497814,
1989,3.730000,,4.614962,
1990,3.210000,3.138804,4.048307,3.403074
1991,3.450000,3.379206,4.207498,3.642030
1992,3.500000,3.422666,3.503820,3.749609
1993,3.620000,3.538709,0.173724,3.860926
1994,3.910000,3.836950,2.177503,4.022061
1995,3.500000,3.430121,4.072743,3.757765
1996,3.740000,3.664147,4.120729,4.646187
1997,3.270000,3.182368,3.839915,4.272434
1998,3.430000,3.333565,3.989146,4.334205
1999,3.710000,3.603593,4.229632,4.495540
2000,3.920000,3.902052,4.417519,4.990095
2001,4.270000,4.258100,4.767547,5.147167
2002,4.480000,4.436925,5.028529,5.223715
2003,4.900000,4.927512,5.611635,5.993197
2004,5.080000,5.238223,5.957392,6.227268
2005,5.630000,5.538919,6.572723,6.770352
2006,4.510000,4.422390,5.725515,5.886875
2007,4.920000,4.862531,6.371899,6.690559
2008,4.840000,4.740295,6.577338,7.142097
2009,4.300000,5.257668,5.703378,6.273757
2010,7.380000,6.862391,8.534323,7.342492
2011,7.910000,7.818837,9.140887,9.187711
2012,7.460000,7.362129,8.718203,10.047744
2013,7.950000,7.852669,9.385716,9.823420
2014,8.340000,8.724360,9.772472,11.402051
2015,8.400000,9.845416,9.856288,12.047999
2016,8.870000,10.015698,9.209138,12.914247
2017,9.240000,10.760131,9.533242,13.615482
2018,9.143825,11.330392,10.875990,14.771813
2019,9.361372,12.713021,10.950240,15.282928
2020,9.470961,10.820952,10.959240,14.004783
2021,9.522995,11.523095,10.910580,15.237116
2022,11.527030,,12.553300,
