"Year","TWN production EXIOBASE 3.8.2","TWN production WIOD2016","TWN production OECDv2","TWN production Eora 199.082 (2023)","TWN production GCB 2023v26"
1970,,,,30.900000,
1971,,,,33.600000,
1972,,,,38.100000,
1973,,,,42.700000,
1974,,,,41.700000,
1975,,,,46,
1976,,,,58.800000,
1977,,,,64,
1978,,,,74.400000,
1979,,,,79.200000,
1980,,,,86.900000,
1981,,,,78,
1982,,,,78,
1983,,,,85.900000,
1984,,,,87.500000,
1985,,,,88.800000,
1986,,,,98.700000,
1987,,,,102,
1988,,,,118,
1989,,,,128,
1990,,,,128,124.184000
1991,,,,139,133.604000
1992,,,,150,142.188000
1993,,,,161,153.808000
1994,,,,168,161.174000
1995,172.137883,,158.427400,179,168.887000
1996,180.507193,,166.524961,188,176.794000
1997,193.188571,,177.995450,203,190.557000
1998,205.377653,,190.963487,206,200.172000
1999,214.373875,,199.757317,213,207.808000
2000,232.810829,276.779815,218.821905,225,226.900000
2001,237.997533,286.174551,225.657482,234,229.777000
2002,255.726838,294.199409,234.854637,243,237.326000
2003,271.783475,302.655990,247.161493,252,248.248000
2004,281.713826,309.995257,255.535752,267,257.883000
2005,290.957714,315.261578,262.772757,265,266.460000
2006,299.617771,324.273029,270.046173,274,276.159000
2007,303.853911,326.146032,275.198009,284,279.800000
2008,290.700568,310.117614,263.169569,268,266.594000
2009,274.625481,298.815538,250.630697,255,252.505000
2010,292.930939,319.456505,270.346405,279,270.148000
2011,292.192337,316.426519,264.202568,278,276.283000
2012,282.347300,305.942201,,270,272.739000
2013,284.288603,309.235438,,270,273.873000
2014,286.419775,314.702053,,274,276.371000
2015,287.466448,,,272,275.868000
2016,294.396836,,,280,279.731000
2017,306.787862,,,293,285.247000
2018,308.231259,,,293,283.416000
2019,298.046402,,,293,273.954000
2020,324.147542,,,293,271.788784
2021,307.643276,,,293,291.201413
2022,316.233416,,,293,
