"Year","PRY production Eora 199.082 (2023)","PRY production GCB 2023v26"
1970,0.868000,
1971,0.742000,
1972,0.829000,
1973,0.988000,
1974,1.090000,
1975,0.996000,
1976,1.200000,
1977,1.360000,
1978,1.640000,
1979,1.500000,
1980,1.710000,
1981,1.570000,
1982,1.530000,
1983,1.590000,
1984,1.640000,
1985,1.660000,
1986,1.880000,
1987,2.140000,
1988,2.520000,
1989,2.560000,
1990,2.500000,2.135640
1991,2.480000,2.103445
1992,3.110000,2.579939
1993,3.320000,2.914101
1994,3.940000,3.404286
1995,4.500000,3.937149
1996,4.200000,3.718801
1997,4.490000,4.127971
1998,4.650000,4.383911
1999,4.570000,4.375923
2000,3.810000,3.606132
2001,3.990000,3.695507
2002,4.240000,3.857264
2003,4.460000,4.031488
2004,4.570000,4.061307
2005,4.330000,3.779891
2006,4.480000,3.908692
2007,4.550000,4.041562
2008,4.790000,4.277954
2009,5.190000,4.531500
2010,5.520000,5.021793
2011,5.560000,5.198721
2012,5.840000,5.173286
2013,5.840000,5.172147
2014,6.150000,5.458230
2015,6.390000,6.047637
2016,6.660000,7.193354
2017,6.720000,7.932479
2018,6.851849,8.400541
2019,6.868925,8.136722
2020,7.007215,7.366268
2021,7.159564,9.243292
2022,6.823266,
