"Year","LTU production EXIOBASE 3.8.2","LTU production WIOD2016","LTU production OECDv2","LTU production Eora 199.082 (2023)","LTU production FIGARO April 2022","LTU production GCB 2023v26","LTU production Eurostat NAMEA"
1970,,,,21.400000,,,
1971,,,,22.800000,,,
1972,,,,24.600000,,,
1973,,,,26.200000,,,
1974,,,,27.900000,,,
1975,,,,29.600000,,,
1976,,,,30.600000,,,
1977,,,,31.800000,,,
1978,,,,33.700000,,,
1979,,,,34.100000,,,
1980,,,,35,,,
1981,,,,35.400000,,,
1982,,,,35.900000,,,
1983,,,,36.300000,,,
1984,,,,36.200000,,,
1985,,,,37.200000,,,
1986,,,,37.500000,,,
1987,,,,38.700000,,,
1988,,,,39.100000,,,
1989,,,,38.700000,,,
1990,,,,36.100000,,35.737673,
1991,,,,38.200000,,37.820377,
1992,,,,21.500000,,21.168441,
1993,,,,16.600000,,16.319713,
1994,,,,16,,15.767042,
1995,18.018218,,14.135135,15.300000,,15.057343,
1996,19.132889,,14.687785,16,,15.739963,
1997,20.320936,,14.351835,15.400000,,15.162846,
1998,22.265456,,15.096653,16.200000,,15.997053,
1999,20.157490,,12.769641,13.700000,,13.449596,
2000,18.393461,12.437790,11.103296,12.100000,,11.843035,
2001,17.896479,14.176397,12.009206,12.800000,,12.593737,
2002,17.845864,14.037988,12.031188,12.900000,,12.666029,
2003,17.866399,13.742535,12.065330,12.900000,,12.659431,
2004,17.917802,14.577728,12.660091,13.500000,,13.254169,
2005,18.365942,14.915045,13.450997,14.400000,,13.862650,
2006,18.575565,15.152901,13.516448,14.800000,,14.195783,
2007,18.754503,16.379999,14.401773,16.100000,,15.475053,
2008,17.908466,19.274034,14.240198,15.500000,,14.918748,17.873266
2009,15.279329,15.854153,12.440887,13.300000,,12.830513,14.856271
2010,16.465905,17.064719,13.318389,14.200000,15.866661,13.803169,15.867376
2011,16.246495,17.937723,13.262070,14.500000,16.284517,13.960951,16.284903
2012,16.412978,18.136031,,14.600000,16.242096,14.055952,16.242540
2013,16.235102,17.501337,,13.600000,15.272329,13.154249,15.272745
2014,16.199671,17.832492,,13.300000,15.415688,12.854897,15.417629
2015,16.390570,,,13.600000,16.040013,13.055458,15.978484
2016,16.063496,,,13.600000,16.274574,13.121737,16.275097
2017,16.691884,,,13.800000,17.349312,13.286188,17.349631
2018,16.980366,,,13.116570,18.628321,13.434746,18.623660
2019,16.816352,,,12.719390,19.122357,13.677775,19.123339
2020,17.824967,,,12.215980,18.833906,13.538674,20.442128
2021,17.829958,,,11.648240,,13.829675,21.005713
2022,18.388356,,,7.940902,,,
