"Year","PRT production EXIOBASE 3.8.2","PRT production WIOD2016","PRT production OECDv2","PRT production Eora 199.082 (2023)","PRT production FIGARO April 2022","PRT production GCB 2023v26","PRT production Eurostat NAMEA","PRT consumption EXIOBASE 3.8.2","PRT consumption WIOD2016","PRT consumption OECDv2","PRT consumption Eora 199.082 (2023)","PRT consumption FIGARO April 2022","PRT consumption GCB 2023v26","PRT net_trade EXIOBASE 3.8.2","PRT net_trade WIOD2016","PRT net_trade OECDv2","PRT net_trade Eora 199.082 (2023)","PRT net_trade FIGARO April 2022","PRT net_trade GCB 2023v26"
1970,,,,19.200000,,,,,,,18.738360,,,,,,-0.461640,,
1971,,,,20.500000,,,,,,,19.627340,,,,,,-0.872660,,
1972,,,,22.600000,,,,,,,21.392680,,,,,,-1.207320,,
1973,,,,24.600000,,,,,,,24.571000,,,,,,-0.029000,,
1974,,,,25.100000,,,,,,,25.131830,,,,,,0.031830,,
1975,,,,25.700000,,,,,,,25.723860,,,,,,0.023860,,
1976,,,,26.800000,,,,,,,28.017820,,,,,,1.217820,,
1977,,,,27.200000,,,,,,,30.248830,,,,,,3.048830,,
1978,,,,27.400000,,,,,,,30.036740,,,,,,2.636740,,
1979,,,,29.800000,,,,,,,33.581040,,,,,,3.781040,,
1980,,,,31.400000,,,,,,,36.580810,,,,,,5.180810,,
1981,,,,31.900000,,,,,,,37.701260,,,,,,5.801260,,
1982,,,,34.200000,,,,,,,38.852460,,,,,,4.652460,,
1983,,,,35,,,,,,,37.153970,,,,,,2.153970,,
1984,,,,33.900000,,,,,,,34.093520,,,,,,0.193520,,
1985,,,,31.600000,,,,,,,36.972120,,,,,,5.372120,,
1986,,,,35.200000,,,,,,,32.173500,,,,,,-3.026500,,
1987,,,,36.400000,,,,,,,32.359890,,,,,,-4.040110,,
1988,,,,37.600000,,,,,,,42.548640,,,,,,4.948640,,
1989,,,,46.100000,,,,,,,55.117210,,,,,,9.017210,,
1990,,,,46.400000,,45.278821,,,,,56.157940,,51.934261,,,,9.757940,,6.655440
1991,,,,48.200000,,47.097086,,,,,59.569290,,54.221684,,,,11.369290,,7.124598
1992,,,,52.400000,,50.920116,,,,,63.932590,,60.059400,,,,11.532590,,9.139284
1993,,,,50.900000,,49.434030,,,,,52.407100,,58.462719,,,,1.507100,,9.028689
1994,,,,51.700000,,50.206746,,,,,58.190450,,59.379487,,,,6.490450,,9.172741
1995,57.048986,,48.016646,55.700000,,54.468373,55.383118,63.817161,,56.323309,69.395910,,63.565042,6.768175,,8.306663,13.695910,,9.096669
1996,55.230789,,46.154625,53,,51.761498,52.776436,64.354198,,54.968826,69.287870,,60.778322,9.123409,,8.814201,16.287870,,9.016823
1997,57.349727,,48.253893,56,,54.627081,55.578726,65.412943,,57.165136,72.344400,,70.790430,8.063216,,8.911244,16.344400,,16.163349
1998,61.861688,,52.899890,60.500000,,59.168596,60.108386,72.175079,,62.966687,76.985720,,80.940953,10.313390,,10.066796,16.485720,,21.772357
1999,68.410684,,59.426589,68.100000,,66.837453,67.840005,78.572388,,70.416771,84.681020,,97.947807,10.161703,,10.990182,16.581020,,31.110354
2000,65.823300,67.669300,58.959051,66.900000,,65.611377,66.574556,78.352197,85.096505,70.792321,84.289720,,110.916222,12.528897,17.427205,11.833270,17.389720,,45.304846
2001,65.783319,67.579300,58.548772,66.400000,,65.152490,66.470068,78.369431,87.265598,72.675808,82.615470,,113.379682,12.586111,19.686298,14.127036,16.215470,,48.227192
2002,70.153903,71.342900,62.478308,70.300000,,69.559706,70.766841,81.310819,89.274746,74.486981,85.953940,,114.014786,11.156917,17.931846,12.008673,15.653940,,44.455080
2003,64.917675,66.373600,58.030657,65.100000,,64.455823,65.976429,75.356396,84.045229,71.474303,84.389300,,112.096160,10.438721,17.671629,13.443646,19.289300,,47.640337
