"Year","SWZ production Eora 199.082 (2023)","SWZ consumption Eora 199.082 (2023)","SWZ net_trade Eora 199.082 (2023)"
1970,0.369000,-0.049164,-0.418164
1971,0.403000,-0.294149,-0.697149
1972,0.384000,-0.670853,-1.054853
1973,0.374000,-0.773966,-1.147966
1974,0.315000,-0.713278,-1.028278
1975,0.341000,-0.234969,-0.575969
1976,0.337000,0.116466,-0.220534
1977,0.345000,0.819793,0.474793
1978,0.444000,1.058973,0.614973
1979,0.452000,1.659136,1.207136
1980,0.471000,1.827726,1.356726
1981,0.441000,1.678714,1.237714
1982,0.441000,1.229989,0.788989
1983,0.277000,0.550613,0.273613
1984,0.338000,0.418190,0.080190
1985,0.445000,1.581687,1.136687
1986,0.464000,-0.659866,-1.123866
1987,0.442000,-0.683149,-1.125149
1988,0.442000,0.947009,0.505009
1989,0.442000,2.169597,1.727597
1990,0.432000,1.771764,1.339764
1991,0.332000,1.939714,1.607714
1992,0.270000,1.490490,1.220490
1993,0.138000,-1.317679,-1.455679
1994,0.489000,0.457087,-0.031913
1995,0.460000,2.663438,2.203438
1996,0.346000,2.494583,2.148583
1997,1.210000,3.393545,2.183545
1998,1.220000,3.360908,2.140908
1999,1.240000,3.274944,2.034944
2000,1.190000,3.204617,2.014617
2001,1.150000,3.383708,2.233708
2002,1.130000,3.272846,2.142846
2003,1.050000,3.846727,2.796727
2004,1.040000,3.893101,2.853101
2005,1.020000,3.820712,2.800712
2006,1.020000,3.772091,2.752091
2007,1.070000,3.858875,2.788875
2008,1.100000,3.807789,2.707789
2009,1.050000,4.125326,3.075326
2010,1.050000,4.048939,2.998939
2011,1.050000,4.044989,2.994989
2012,1.220000,4.059966,2.839966
2013,1.090000,3.835768,2.745768
2014,1.210000,3.875201,2.665201
2015,1.240000,3.820458,2.580458
2016,1.270000,2.560206,1.290206
2017,1.350000,2.432940,1.082940
2018,1.350000,3.078333,1.728333
2019,1.350000,3.051138,1.701138
2020,1.350000,3.060333,1.710333
2021,1.350000,3.027141,1.677141
2022,0.644517,2.342857,1.698340
