"Year","USA production EXIOBASE 3.8.2","USA production WIOD2016","USA production OECDv2","USA production Eora 199.082 (2023)","USA production FIGARO April 2022","USA production GCB 2023v26","USA consumption EXIOBASE 3.8.2","USA consumption WIOD2016","USA consumption OECDv2","USA consumption Eora 199.082 (2023)","USA consumption FIGARO April 2022","USA consumption GCB 2023v26","USA net_trade EXIOBASE 3.8.2","USA net_trade WIOD2016","USA net_trade OECDv2","USA net_trade Eora 199.082 (2023)","USA net_trade FIGARO April 2022","USA net_trade GCB 2023v26"
1970,,,,4850,,,,,,4746.273000,,,,,,-103.727000,,
1971,,,,4810,,,,,,4708.392000,,,,,,-101.608000,,
1972,,,,5030,,,,,,4910.908000,,,,,,-119.092000,,
1973,,,,5270,,,,,,5122.713000,,,,,,-147.287000,,
1974,,,,5070,,,,,,4909.031000,,,,,,-160.969000,,
1975,,,,4820,,,,,,4646.148000,,,,,,-173.852000,,
1976,,,,5070,,,,,,4931.283000,,,,,,-138.717000,,
1977,,,,5200,,,,,,5072.893000,,,,,,-127.107000,,
1978,,,,5360,,,,,,5232.669000,,,,,,-127.331000,,
1979,,,,5390,,,,,,5245.078000,,,,,,-144.922000,,
1980,,,,5170,,,,,,5037.473000,,,,,,-132.527000,,
1981,,,,4970,,,,,,4884.833000,,,,,,-85.167000,,
1982,,,,4670,,,,,,4640.392000,,,,,,-29.608000,,
1983,,,,4710,,,,,,4712.648000,,,,,,2.648000,,
1984,,,,4880,,,,,,4951.493000,,,,,,71.493000,,
1985,,,,4870,,,,,,4973.283000,,,,,,103.283000,,
1986,,,,4870,,,,,,4822.268000,,,,,,-47.732000,,
1987,,,,5080,,,,,,5000.950000,,,,,,-79.050000,,
1988,,,,5320,,,,,,5315.690000,,,,,,-4.310000,,
1989,,,,5380,,,,,,5369.293000,,,,,,-10.707000,,
1990,,,,5250,,5120.957207,,,,5293.724000,,5048.030050,,,,43.724000,,-72.927157
1991,,,,5200,,5062.956718,,,,5242.294000,,4961.271107,,,,42.294000,,-101.685611
1992,,,,5310,,5174.227507,,,,5326.972000,,5148.225830,,,,16.972000,,-26.001677
1993,,,,5420,,5272.850808,,,,5329.581000,,5207.482602,,,,-90.419000,,-65.368206
1994,,,,5520,,5364.279285,,,,5558.952000,,5312.555244,,,,38.952000,,-51.724041
1995,5200.540311,,5130.322976,5580,,5425.259696,5492.700469,,5286.002948,5709.399000,,5372.449947,292.160158,,155.679972,129.399000,,-52.809748
1996,5359.944140,,5295.986938,5760,,5612.982752,5625.756882,,5472.941126,5940.367000,,5540.392549,265.812742,,176.954188,180.367000,,-72.590203
1997,5531.692316,,5474.307591,5830,,5688.142511,5770.482047,,5674.278784,6111.820000,,5646.006362,238.789731,,199.971192,281.820000,,-42.136149
1998,5554.185457,,5468.770698,5880,,5733.280550,5959.413013,,5831.281455,6478.882000,,5811.633453,405.227557,,362.510757,598.882000,,78.352903
1999,5582.562346,,5496.876779,5950,,5803.917834,5998.374533,,5923.081203,6610.660000,,5990.146654,415.812187,,426.204424,660.660000,,186.228820
2000,5791.536799,5853.864127,5691.303506,6110,,6010.135928,6311.586244,6655.703167,6220.708134,6852.024000,,6253.939818,520.049446,801.839040,529.404628,742.024000,,243.803890
2001,5749.462129,5804.550719,5670.566601,6020,,5907.739935,6270.938364,6599.120910,6206.357471,6802.137000,,6176.889565,521.476235,794.570191,535.790870,782.137000,,269.149630
2002,5684.503705,5608.500004,5598.404755,6050,,5946.308145,6321.463036,6508.839005,6197.651795,6861.780000,,6293.475042,636.959331,900.339001,599.247040,811.780000,,347.166897
2003,5761.025362,5659.334499,5673.344261,6100,,6010.145463,6438.443656,6613.175918,6301.053775,6955.844000,,6488.713077,677.418293,953.841418,627.709514,855.844000,,478.567614
2004,5853.627462,5721.537822,5760.715012,6210,,6112.654584,6576.500658,6778.516809,6456.638496,7190.337000,,6617.632618,722.873196,1056.978987,695.923484,980.337000,,504.978033
2005,5879.816421,5765.271455,5770.570853,6230,,6132.183270,6710.101269,6948.680929,6540.713149,7315.375000,,6724.063981,830.284847,1183.409474,770.142296,1085.375000,,591.880711
2006,5782.510718,5679.178395,5684.771645,6150,,6052.686215,6681.451073,6905.437531,6498.765165,7342.734000,,6707.719576,898.940355,1226.259136,813.993520,1192.734000,,655.033361
2007,5866.904309,5763.440467,5763.073697,6220,,6130.122760,6613.539343,6838.365407,6427.288202,7356.172000,,6639.217331,746.635034,1074.924939,664.214505,1136.172000,,509.094572
2008,5687.491955,5586.306348,5586.897815,6010,,5915.118465,6314.600547,6525.918703,6144.622631,7076.023000,,6315.350172,627.108592,939.612354,557.724816,1066.023000,,400.231707
2009,5275.720598,5160.508787,5181.126348,5570,,5480.725731,5856.929062,5932.770563,5665.490206,6352.477000,,5779.448983,581.208464,772.261776,484.363858,782.477000,,298.723251
2010,5510.520192,5403.981649,5425.004931,5780,5576.791625,5679.715249,6060.682597,6240.075181,5934.501824,6660.568000,6261.644315,5965.813509,550.162404,836.093532,509.496893,880.568000,684.852690,286.098260
2011,5377.850742,5253.196671,5286.122128,5650,5371.204261,5546.116067,5926.071876,6079.830804,5784.361109,6553.206000,6062.371699,5818.907530,548.221134,826.634132,498.238982,903.206000,691.167438,272.791463
2012,5200.060290,5076.372899,,5450,5149.027129,5344.085980,5720.346058,5897.042516,,6372.869000,5860.096577,5652.214577,520.285768,820.669617,,922.869000,711.069448,308.128598
2013,5273.830307,5176.445269,,5590,5277.280528,5480.156537,5844.099431,5981.179875,,6464.785000,5926.764265,5738.612562,570.269124,804.734606,,874.785000,649.483737,258.456026
2014,5346.758585,5257.452258,,5640,5294.242842,5528.681067,5984.598940,6090.717815,,6409.336000,6005.441194,5836.821068,637.840354,833.265558,,769.336000,711.198352,308.140001
2015,5185.845272,,,5480,5170.634063,5376.473125,5971.846685,,,6221.180000,5837.177303,5790.281167,786.001413,,,741.180000,666.543240,413.808043
2016,5090.801504,,,5360,5061.596928,5252.932175,5894.073800,,,6145.074000,5727.028022,5660.726725,803.272296,,,785.074000,665.431094,407.794550
2017,5026.168836,,,5320,4985.663380,5212.162345,5852.413749,,,6165.276000,5662.733538,5631.145340,826.244913,,,845.276000,677.070158,418.982995
