"Year","LKA production Eora 199.082 (2023)","LKA production GCB 2023v26"
1970,3.820000,
1971,3.440000,
1972,3.760000,
1973,3.910000,
1974,3.230000,
1975,3.070000,
1976,3.020000,
1977,3.150000,
1978,3.730000,
1979,4.090000,
1980,3.690000,
1981,4.260000,
1982,4.930000,
1983,5.220000,
1984,4.270000,
1985,4.270000,
1986,3.950000,
1987,4.340000,
1988,3.800000,
1989,3.770000,
1990,4.140000,3.830820
1991,4.460000,4.138236
1992,5.450000,5.106336
1993,5.340000,4.975431
1994,5.790000,5.435205
1995,6.150000,5.814277
1996,7.320000,6.970579
1997,7.850000,7.520293
1998,8.100000,7.735926
1999,8.920000,8.516617
2000,10.500000,10.134099
2001,10.700000,10.326369
2002,11.300000,10.948020
2003,11.300000,10.953041
2004,12.600000,12.147363
2005,12.400000,11.935225
2006,12.300000,11.792541
2007,12.600000,12.151910
2008,12.600000,11.987291
2009,13.600000,12.944645
2010,13.700000,13.050987
2011,15.600000,14.886152
2012,16.600000,15.798102
2013,16,14.510512
2014,19,17.420011
2015,23.600000,19.687387
2016,26.700000,22.986969
2017,28.500000,22.872901
2018,32.077920,20.096861
2019,35.451670,21.232161
2020,39.154770,20.624665
2021,43.130880,20.091445
2022,28.274590,
