"Year","MNG production Eora 199.082 (2023)","MNG production GCB 2023v26"
1970,3.560000,
1971,3.780000,
1972,4.090000,
1973,4.340000,
1974,4.680000,
1975,5.060000,
1976,5.470000,
1977,6.180000,
1978,7.180000,
1979,7.820000,
1980,8.530000,
1981,8.240000,
1982,8.380000,
1983,8.670000,
1984,8,
1985,11.200000,
1986,12,
1987,13.100000,
1988,14.300000,
1989,13,
1990,11,9.791058
1991,12.600000,11.959794
1992,11,10.942613
1993,10.200000,9.193024
1994,8.900000,7.864772
1995,8.730000,7.837062
1996,7.130000,7.935414
1997,6.950000,7.615103
1998,7.050000,7.621516
1999,7.020000,7.487592
2000,7.340000,7.431864
2001,7.350000,7.803958
2002,7.890000,8.196568
2003,7.800000,7.930054
2004,7.930000,8.501100
2005,9.630000,8.515078
2006,11.300000,9.281176
2007,11.700000,11.957832
2008,11.600000,11.917791
2009,12,13.026382
2010,12.600000,13.772318
2011,14,21.367866
2012,15.500000,34.999854
2013,16.600000,43.478034
2014,16.100000,29.626122
2015,16.900000,23.282274
2016,19.100000,25.629140
2017,19.700000,34.135351
2018,20.273310,45.315646
2019,21.290470,47.254523
2020,22.248330,37.076765
2021,23.210660,38.244439
2022,22.496730,
