"Year","NPL production Eora 199.082 (2023)","NPL production GCB 2023v26"
1970,0.273000,
1971,0.249000,
1972,0.325000,
1973,0.498000,
1974,0.484000,
1975,0.405000,
1976,0.340000,
1977,0.400000,
1978,0.396000,
1979,0.576000,
1980,0.602000,
1981,0.519000,
1982,0.514000,
1983,0.575000,
1984,0.783000,
1985,0.758000,
1986,0.786000,
1987,0.966000,
1988,1.070000,
1989,1.010000,
1990,0.741000,0.721436
1991,1.080000,1.026311
1992,1.460000,1.232929
1993,1.580000,1.397333
1994,1.830000,1.619432
1995,2.170000,2.308915
1996,2.630000,2.352779
1997,2.940000,2.641111
1998,2.420000,2.223327
1999,3.350000,3.191083
2000,3.190000,3.037431
2001,3.390000,3.236078
2002,2.750000,2.596383
2003,2.960000,2.810381
2004,2.750000,2.582410
2005,3.140000,2.986760
2006,2.620000,2.456469
2007,2.670000,2.570341
2008,3.480000,3.351788
2009,4.280000,4.129352
2010,4.990000,4.824304
2011,5.370000,5.220429
2012,5.610000,5.470253
2013,6.370000,6.217840
2014,7.750000,7.591334
2015,7.630000,6.904657
2016,8.630000,10.085127
2017,8.870000,12.429835
2018,9.967130,14.798718
2019,11.109720,13.574890
2020,12.172700,14.902414
2021,13.195170,15.610717
2022,10.432780,
