"Year","SVN production EXIOBASE 3.8.2","SVN production WIOD2016","SVN production OECDv2","SVN production Eora 199.082 (2023)","SVN production FIGARO April 2022","SVN production GCB 2023v26","SVN production Eurostat NAMEA","SVN consumption EXIOBASE 3.8.2","SVN consumption WIOD2016","SVN consumption OECDv2","SVN consumption Eora 199.082 (2023)","SVN consumption FIGARO April 2022","SVN consumption GCB 2023v26","SVN net_trade EXIOBASE 3.8.2","SVN net_trade WIOD2016","SVN net_trade OECDv2","SVN net_trade Eora 199.082 (2023)","SVN net_trade FIGARO April 2022","SVN net_trade GCB 2023v26"
2013,14.413300,16.055584,,15.800000,15.721572,15.128262,14.146381,16.536544,16.778756,,16.326240,18.180647,18.071100,2.123244,0.723172,,0.526240,2.459075,2.942839
2014,12.930922,14.409519,,14.100000,14.212628,13.561306,12.596357,15.544341,15.799848,,15.068210,17.130652,17.575426,2.613419,1.390329,,0.968210,2.918024,4.014120
2015,12.988190,,,14.200000,14.573080,13.645485,13.042008,15.507463,,,15.327170,17.040450,17.585780,2.519273,,,1.127170,2.467370,3.940295
2016,13.582501,,,15,15.545262,14.458364,13.719063,15.657976,,,11.127760,17.296841,18.318142,2.075475,,,-3.872240,1.751579,3.859778
2017,13.615165,,,14.800000,16.074024,14.616678,14.221814,16.145276,,,10.975980,17.825075,19.829299,2.530110,,,-3.824020,1.751051,5.212621
2018,13.739512,,,15.666980,15.992557,14.519854,14.449368,16.932998,,,14.944700,18.657986,21.150046,3.193486,,,-0.722280,2.665429,6.630192
2019,13.177406,,,15.754040,15.650289,14.039442,14.247267,16.279398,,,14.712290,18.343278,20.581380,3.101992,,,-1.041750,2.692989,6.541938
2020,13.845852,,,15.893440,14.911913,12.854907,13.414093,17.277237,,,15.644720,17.714488,18.806117,3.431385,,,-0.248720,2.802575,5.951210
2021,13.742639,,,16.002140,,13.059966,13.205282,16.027652,,,15.176670,,20.700829,2.285012,,,-0.825470,,7.640863
2022,14.868386,,,17.669760,,,,16.508673,,,15.624810,,,1.640287,,,-2.044950,,
