"Year","ERI production Eora 199.082 (2023)"
1970,0.544000
1971,0.611000
1972,0.629000
1973,0.656000
1974,0.647000
1975,0.624000
1976,0.636000
1977,0.614000
1978,0.597000
1979,0.596000
1980,0.630000
1981,0.604000
1982,0.593000
1983,0.577000
1984,0.583000
1985,0.624000
1986,0.662000
1987,0.699000
1988,0.746000
1989,0.786000
1990,0.866000
1991,0.800000
1992,0.804000
1993,0.872000
1994,0.871000
1995,0.941000
1996,1.020000
1997,0.872000
1998,0.599000
1999,0.629000
2000,0.618000
2001,0.640000
2002,0.615000
2003,0.736000
2004,0.781000
2005,0.778000
2006,0.572000
2007,0.590000
2008,0.425000
2009,0.524000
2010,0.525000
2011,0.588000
2012,0.646000
2013,0.656000
2014,0.681000
2015,0.670000
2016,0.662000
2017,0.699000
2018,0.669377
2019,0.697279
2020,0.734168
2021,0.779505
2022,0.710043
