"Year","ETH production Eora 199.082 (2023)","ETH production GCB 2023v26","ETH consumption Eora 199.082 (2023)","ETH consumption GCB 2023v26","ETH net_trade Eora 199.082 (2023)","ETH net_trade GCB 2023v26"
1970,1.330000,,0.836379,,-0.493621,
1971,1.490000,,0.617120,,-0.872880,
1972,1.160000,,-0.227351,,-1.387351,
1973,1.390000,,-0.206955,,-1.596955,
1974,1.380000,,-0.156376,,-1.536376,
1975,1,,0.003947,,-0.996053,
1976,0.981000,,0.326675,,-0.654325,
1977,0.857000,,1.000743,,0.143743,
1978,1.100000,,1.201834,,0.101834,
1979,1.460000,,1.918457,,0.458457,
1980,1.450000,,1.948870,,0.498870,
1981,1.490000,,1.985079,,0.495079,
1982,1.220000,,1.484340,,0.264340,
1983,1.490000,,1.235985,,-0.254015,
1984,1.380000,,0.859694,,-0.520306,
1985,1.480000,,2.307077,,0.827077,
1986,1.790000,,-1.285961,,-3.075961,
1987,2.090000,,-1.575770,,-3.665770,
1988,2.170000,,1.518825,,-0.651175,
1989,2.290000,,3.239387,,0.949387,
1990,2.500000,2.986507,3.406325,3.934315,0.906325,0.947807
1991,2.060000,2.958472,3.027500,3.984601,0.967500,1.026128
1992,2.200000,2.936737,2.197954,4.068311,-0.002046,1.131574
1993,2.520000,2.993623,-1.738820,4.073545,-4.258820,1.079922
1994,2.460000,2.197201,-0.133315,3.362753,-2.593315,1.165553
1995,2.350000,2.505953,0.734773,3.701502,-1.615227,1.195549
1996,2.620000,2.794189,0.809420,3.964761,-1.810580,1.170572
1997,3.020000,2.980158,0.826851,4.403542,-2.193149,1.423384
1998,3.150000,3.147422,0.744356,5.166430,-2.405644,2.019008
1999,3.330000,3.094276,0.771681,5.045314,-2.558319,1.951038
2000,3.600000,3.462855,0.515411,3.807984,-3.084589,0.345130
2001,4.470000,4.264586,0.785632,4.429703,-3.684368,0.165118
2002,4.640000,4.431687,0.812242,3.856439,-3.827758,-0.575248
2003,5.120000,4.870232,0.903276,4.072728,-4.216724,-0.797504
2004,5.480000,5.158551,1.046197,4.120096,-4.433803,-1.038454
2005,6.820000,4.956129,1.242234,4.071546,-5.577766,-0.884583
2006,6.600000,5.318177,1.516746,4.508660,-5.083254,-0.809517
2007,9.310000,5.839596,1.608539,4.825596,-7.701461,-1.014000
2008,8.590000,6.417597,1.920307,5.337965,-6.669693,-1.079632
2009,9.290000,6.453445,1.971785,5.606551,-7.318215,-0.846894
2010,11.400000,6.336871,2.083717,5.021090,-9.316283,-1.315781
2011,9.910000,7.402480,2.232288,5.518743,-7.677712,-1.883737
2012,10.100000,8.108686,2.414058,7.488149,-7.685942,-0.620537
2013,11.600000,9.781029,2.355402,8.263508,-9.244598,-1.517521
2014,12.800000,12.016546,2.343678,10.571441,-10.456322,-1.445105
2015,13.800000,12.696406,2.374525,11.437085,-11.425475,-1.259321
2016,13.900000,14.424923,11.198520,13.135399,-2.701480,-1.289524
2017,14.600000,15.583688,11.503710,20.235285,-3.096290,4.651597
2018,15.803020,15.988957,10.957640,19.548466,-4.845380,3.559509
2019,16.659260,16.674991,11.104410,20.192380,-5.554850,3.517389
2020,17.545150,17.810122,11.217450,21.049366,-6.327700,3.239244
2021,18.474360,18.888683,11.353950,22.648198,-7.120410,3.759514
2022,19.364970,,11.736300,,-7.628670,
