"Year","FRA production EXIOBASE 3.8.2","FRA production WIOD2016","FRA production OECDv2","FRA production Eora 199.082","FRA production FIGARO April 2022","FRA production GCB 2023v26","FRA production SDES 2023 (official)","FRA production Eurostat NAMEA","FRA consumption EXIOBASE 3.8.2","FRA consumption WIOD2016","FRA consumption OECDv2","FRA consumption Eora 199.082","FRA consumption FIGARO April 2022","FRA consumption GCB 2023v26","FRA consumption SDES 2023 (official)"
1990,,,,386.360000,,393.430700,,,,,,495.443862,,493.079899,
1991,,,,409.900000,,417.775007,,,,,,520.134900,,504.327316,
1992,,,,398.840000,,407.717271,,,,,,525.248926,,545.937805,
1993,,,,378.680000,,388.397983,,,,,,547.069876,,504.507112,
1994,,,,373.240000,,381.576322,,,,,,541.122592,,492.354736,
1995,368.362761,,356.396662,381.830000,,386.456832,,,453.334159,,454.796767,509.482174,,502.071168,494.089321
1996,385.295776,,371.452413,396.680000,,402.893173,,,536.128012,,464.948990,600.281009,,504.597723,
1997,377.921659,,363.960974,388.530000,,395.511895,,,453.533181,,439.515934,505.887317,,490.037595,
1998,402.223346,,390.750973,410.310000,,413.964532,,,499.605981,,477.337278,540.699769,,509.896952,
1999,397.687378,,384.205868,404.150000,,412.369633,,,500.828136,,484.163806,535.704843,,513.188981,
2000,394.784412,437.276199,378.665500,402.170000,,406.507504,,,513.108233,532.273381,483.696789,537.169404,,519.230837,514.744019
2001,390.213021,443.392146,385.472792,406.660000,,411.016481,,,509.414141,538.893908,496.945526,533.271697,,518.791546,
2002,384.810816,437.276686,377.926597,400.630000,,406.431021,,,502.465620,537.590689,481.697909,534.828274,,511.183035,
2003,390.256348,440.132424,385.677723,405.010000,,412.456701,,,524.606660,569.568575,520.652602,558.230521,,521.593860,
2004,394.079007,435.717458,385.875575,405.560000,,413.663396,,,535.541526,585.306042,529.128180,567.706489,,542.455361,
2005,397.097089,432.514663,388.848769,408.440000,,416.151132,,,536.964781,597.851153,537.173424,577.923787,,551.656496,547.542784
2006,388.115414,422.250986,380.395385,398.290000,,406.309785,,,526.564346,596.002408,534.371989,572.428953,,550.430155,
2007,380.760517,414.278973,374.700538,391.720000,,396.198174,,,531.397271,599.569138,535.169616,573.491835,,550.306136,
2008,378.351544,413.063970,369.713490,384.620000,,389.427324,413.257839,414.922831,535.633380,591.266258,543.604279,566.629704,,543.767859,
2009,363.537257,391.159603,349.959320,369.530000,,370.965652,392.413265,394.054064,498.195305,547.088025,502.781638,538.104684,,504.964253,
2010,372.708217,401.726351,356.256282,379.540000,400.440244,376.563913,400.440444,399.810311,501.197718,561.815355,513.984990,539.016118,567.197915,503.268514,538.894967
2011,343.425725,376.895725,329.655711,348.890000,378.494601,354.089090,378.494654,378.674305,497.563818,551.279211,499.411673,508.209893,560.524647,501.104627,541.104360
2012,345.666043,377.612462,,350.140000,379.885412,356.444547,379.885453,380.026371,488.772661,530.773981,,505.878811,537.179178,479.554243,527.995561
2013,348.333333,377.373198,,350.990000,380.811347,358.487444,380.811473,381.072854,482.574049,523.933711,,503.382681,542.257891,466.584787,525.905864
2014,316.952384,345.586803,,315.060000,348.301217,327.009474,348.302104,348.849570,462.105551,497.233696,,462.267809,505.852958,434.584830,498.801848
2015,324.803787,,,322.520000,352.490666,331.414415,352.490971,353.402759,457.080979,,,471.810064,511.994358,422.465023,490.671672
2016,326.784466,,,324.480000,355.652730,334.005063,355.652812,355.841979,453.535754,,,425.557182,495.244678,429.594286,484.458508
2017,330.799649,,,328.610000,358.140423,336.895908,358.140539,357.778407,456.259735,,,445.168927,501.806947,427.413492,505.802901
2018,323.665111,,,321.299562,344.235002,322.078548,344.235098,343.224907,458.661990,,,472.165402,512.169185,426.542917,496.796291
2019,317.487718,,,314.735789,338.882530,315.449737,338.882622,337.967894,443.313770,,,451.843283,507.520634,413.963339,489.196255
2020,317.186381,,,308.850013,297.408181,281.539017,297.408375,292.642844,451.920659,,,486.934478,430.198546,375.640629,434.709206
2021,320.182528,,,315.476728,,306.775752,,317.846592,459.571965,,,462.113572,,415.829549,447.898963
2022,322.816628,,,,,,,,453.635347,,,,,,488.977636
