"Year","NER production Eora 199.082 (2023)","NER consumption Eora 199.082 (2023)"
1970,0.192000,-0.231779
1971,0.204000,-0.544943
1972,0.222000,-0.989820
1973,0.290000,-1.109615
1974,0.252000,-1.078005
1975,0.287000,-0.542556
1976,0.290000,-0.195220
1977,0.317000,0.575060
1978,0.360000,0.597769
1979,0.411000,1.389377
1980,0.486000,1.683479
1981,0.582000,1.387566
1982,0.633000,0.891273
1983,0.806000,0.415204
1984,0.831000,0.192670
1985,0.831000,1.397062
1986,0.760000,-1.984233
1987,0.838000,-2.678592
1988,0.829000,0.072350
1989,0.872000,1.428718
1990,0.620000,1.092757
1991,0.743000,1.127077
1992,0.856000,0.437368
1993,1.090000,-3.106537
1994,1.230000,-0.948858
1995,1.460000,1.508833
1996,1.810000,1.598698
1997,2.010000,1.905074
1998,2.340000,2.226679
1999,2.520000,2.343282
2000,1.940000,1.749291
2001,1.780000,1.690494
2002,1.840000,1.761309
2003,1.960000,2.028488
2004,2.040000,2.202345
2005,1.750000,1.984552
2006,1.660000,1.918740
2007,1.680000,1.972971
2008,1.840000,2.232420
2009,2.200000,2.650292
2010,2.680000,3.124003
2011,2.990000,3.592484
2012,4.220000,4.711125
2013,4.410000,4.926335
2014,4.850000,5.300100
2015,3.870000,4.323161
2016,4.150000,4.445743
2017,4.360000,4.512708
2018,5.445730,6.512203
2019,6.015264,6.971021
2020,6.602796,7.519684
2021,7.170704,8.025548
2022,5.988471,6.720580
