"Year","KGZ production Eora 199.082 (2023)","KGZ production GCB 2023v26","KGZ consumption Eora 199.082 (2023)","KGZ consumption GCB 2023v26","KGZ net_trade Eora 199.082 (2023)","KGZ net_trade GCB 2023v26"
1970,13.900000,,7.503416,,-6.396584,
1971,14.600000,,5.259192,,-9.340808,
1972,15.300000,,2.041777,,-13.258223,
1973,16,,0.578399,,-15.421601,
1974,16.600000,,2.485038,,-14.114962,
1975,17.400000,,7.531592,,-9.868408,
1976,17.900000,,10.477170,,-7.422830,
1977,18.500000,,15.420860,,-3.079140,
1978,19.100000,,14.735930,,-4.364070,
1979,19.300000,,16.119250,,-3.180750,
1980,20,,16.576930,,-3.423070,
1981,19.500000,,16.222470,,-3.277530,
1982,19.800000,,16.254100,,-3.545900,
1983,20,,15.304120,,-4.695880,
1984,20.100000,,12.797160,,-7.302840,
1985,21.600000,,19.316460,,-2.283540,
1986,21.800000,,-9.390583,,-31.190583,
1987,22.500000,,-17.038860,,-39.538860,
1988,22.900000,,11.531330,,-11.368670,
1989,22.300000,,21.057880,,-1.242120,
1990,20.800000,18.997598,26.730820,19.793203,5.930820,0.795605
1991,17.900000,15.656505,19.626440,17.471940,1.726440,1.815436
1992,14.800000,11.041681,11.731570,17.932382,-3.068430,6.890701
1993,11.900000,8.468166,-1.845491,13.267296,-13.745491,4.799130
1994,8.830000,6.144479,2.349561,10.715779,-6.480439,4.571300
1995,5.720000,4.506950,6.009678,10.800307,0.289678,6.293357
1996,5.910000,5.651918,6.146006,8.798269,0.236006,3.146351
1997,6.720000,5.560681,6.482164,5.326103,-0.237836,-0.234578
1998,5.700000,5.900999,5.792307,10.823384,0.092307,4.922385
1999,5.230000,4.642439,5.069984,5.819630,-0.160016,1.177191
2000,5.140000,4.575258,4.799571,6.183947,-0.340429,1.608689
2001,4.880000,3.856740,4.715783,4.718982,-0.164217,0.862242
2002,5.100000,4.917247,5.022472,5.641892,-0.077528,0.724645
2003,5.260000,5.375527,5.469482,5.231760,0.209482,-0.143767
2004,5.480000,5.808160,5.748178,6.642398,0.268178,0.834238
2005,5.550000,5.519072,5.966078,7.392546,0.416078,1.873474
2006,5.690000,5.460630,6.652732,8.665097,0.962732,3.204467
2007,6.670000,6.522285,7.524706,9.615449,0.854706,3.093164
2008,7.530000,7.480887,8.856598,16.268403,1.326598,8.787516
2009,7.110000,6.709287,7.968733,13.083510,0.858733,6.374223
2010,6.570000,6.355656,7.648658,11.360676,1.078658,5.005020
2011,7.730000,7.620172,8.972983,12.876617,1.242983,5.256445
2012,10.200000,10.086689,11.030440,18.095176,0.830440,8.008487
2013,9.830000,9.733813,10.707830,17.095972,0.877830,7.362159
2014,9.590000,10.236388,10.263770,17.914326,0.673770,7.677938
2015,9.540000,10.264781,10.399890,16.089672,0.859890,5.824891
2016,9.540000,9.621676,9.628670,17.044819,0.088670,7.423143
2017,9.350000,9.360708,9.145233,16.621490,-0.204767,7.260782
2018,10.181720,11.171519,13.022050,19.725490,2.840330,8.553971
2019,10.401920,9.046309,12.883130,17.327091,2.481210,8.280782
2020,10.597680,8.348849,13.215500,16.152744,2.617820,7.803895
2021,10.846650,9.424165,13.118570,18.007009,2.271920,8.582844
2022,9.096501,,12.241550,,3.145049,
