"Year","SEN production Eora 199.082 (2023)","SEN production GCB 2023v26","SEN consumption Eora 199.082 (2023)","SEN consumption GCB 2023v26","SEN net_trade Eora 199.082 (2023)","SEN net_trade GCB 2023v26"
1970,1.340000,,0.876645,,-0.463355,
1971,1.390000,,0.586996,,-0.803005,
1972,1.490000,,0.235684,,-1.254316,
1973,1.590000,,0.226227,,-1.363773,
1974,1.890000,,0.713538,,-1.176462,
1975,2.620000,,1.961759,,-0.658241,
1976,1.810000,,1.625149,,-0.184851,
1977,2.290000,,2.903238,,0.613238,
1978,2.680000,,3.210733,,0.530733,
1979,2.950000,,4.054512,,1.104512,
1980,3.400000,,4.628918,,1.228918,
1981,3.340000,,4.478007,,1.138007,
1982,3.090000,,3.802422,,0.712422,
1983,2.670000,,2.764542,,0.094542,
1984,3.350000,,3.062443,,-0.287557,
1985,2.710000,,3.799958,,1.089958,
1986,2.700000,,0.341424,,-2.358576,
1987,2.480000,,-0.212868,,-2.692868,
1988,2.780000,,2.497814,,-0.282186,
1989,3.730000,,4.614962,,0.884962,
1990,3.210000,3.138804,4.048307,3.403074,0.838307,0.264270
1991,3.450000,3.379206,4.207498,3.642030,0.757498,0.262824
1992,3.500000,3.422666,3.503820,3.749609,0.003820,0.326942
1993,3.620000,3.538709,0.173724,3.860926,-3.446276,0.322217
1994,3.910000,3.836950,2.177503,4.022061,-1.732497,0.185111
1995,3.500000,3.430121,4.072743,3.757765,0.572743,0.327644
1996,3.740000,3.664147,4.120729,4.646187,0.380729,0.982040
1997,3.270000,3.182368,3.839915,4.272434,0.569915,1.090066
1998,3.430000,3.333565,3.989146,4.334205,0.559146,1.000640
1999,3.710000,3.603593,4.229632,4.495540,0.519632,0.891947
2000,3.920000,3.902052,4.417519,4.990095,0.497519,1.088043
2001,4.270000,4.258100,4.767547,5.147167,0.497547,0.889068
2002,4.480000,4.436925,5.028529,5.223715,0.548529,0.786790
2003,4.900000,4.927512,5.611635,5.993197,0.711635,1.065685
2004,5.080000,5.238223,5.957392,6.227268,0.877392,0.989045
2005,5.630000,5.538919,6.572723,6.770352,0.942723,1.231433
2006,4.510000,4.422390,5.725515,5.886875,1.215515,1.464486
2007,4.920000,4.862531,6.371899,6.690559,1.451899,1.828028
2008,4.840000,4.740295,6.577338,7.142097,1.737338,2.401802
2009,4.300000,5.257668,5.703378,6.273757,1.403378,1.016089
2010,7.380000,6.862391,8.534323,7.342492,1.154323,0.480101
2011,7.910000,7.818837,9.140887,9.187711,1.230887,1.368874
2012,7.460000,7.362129,8.718203,10.047744,1.258203,2.685615
2013,7.950000,7.852669,9.385716,9.823420,1.435716,1.970751
2014,8.340000,8.724360,9.772472,11.402051,1.432472,2.677691
2015,8.400000,9.845416,9.856288,12.047999,1.456288,2.202582
2016,8.870000,10.015698,9.209138,12.914247,0.339138,2.898549
2017,9.240000,10.760131,9.533242,13.615482,0.293242,2.855351
2018,9.143825,11.330392,10.875990,14.771813,1.732165,3.441421
2019,9.361372,12.713021,10.950240,15.282928,1.588868,2.569907
2020,9.470961,10.820952,10.959240,14.004783,1.488279,3.183831
2021,9.522995,11.523095,10.910580,15.237116,1.387585,3.714021
2022,11.527030,,12.553300,,1.026270,
