"Year","GIN production Eora 199.082 (2023)","GIN production GCB 2023v26"
1970,0.812000,
1971,0.834000,
1972,0.853000,
1973,0.823000,
1974,0.860000,
1975,0.864000,
1976,0.909000,
1977,0.924000,
1978,0.924000,
1979,0.969000,
1980,0.988000,
1981,1.010000,
1982,1.010000,
1983,0.979000,
1984,1.010000,
1985,1.020000,
1986,1.020000,
1987,1.020000,
1988,1.060000,
1989,1.070000,
1990,1.040000,1.003936
1991,1.060000,1.025920
1992,1.090000,1.058896
1993,1.120000,1.088208
1994,1.290000,1.124848
1995,1.330000,1.165152
1996,1.400000,1.234768
1997,1.460000,1.289728
1998,1.540000,1.363008
1999,1.620000,1.432624
2000,1.680000,1.491248
2001,1.760000,1.560864
2002,1.850000,1.623152
2003,1.930000,1.700096
2004,1.990000,1.762384
2005,1.870000,1.824672
2006,1.940000,1.890624
2007,2.020000,1.967568
2008,2.240000,1.996880
2009,2.310000,2.110464
2010,2.650000,2.484192
2011,2.830000,2.594112
2012,2.630000,2.421904
2013,2.350000,2.110464
2014,2.500000,2.165424
2015,3.220000,2.451216
2016,3.440000,2.741192
2017,3.620000,3.238976
2018,3.793019,3.162032
2019,4.009525,3.920951
2020,4.239826,4.499392
2021,4.483925,4.855743
2022,4.588495,
