"Year","NAM production Eora 199.082 (2023)","NAM production GCB 2023v26"
1970,0.295000,
1971,0.300000,
1972,0.301000,
1973,0.307000,
1974,0.300000,
1975,0.299000,
1976,0.321000,
1977,0.302000,
1978,0.313000,
1979,0.314000,
1980,0.335000,
1981,0.398000,
1982,0.408000,
1983,0.376000,
1984,0.383000,
1985,0.563000,
1986,0.480000,
1987,0.494000,
1988,0.549000,
1989,0.785000,
1990,0.868000,0
1991,0.948000,1.055232
1992,1.030000,1.150496
1993,1.240000,1.388656
1994,1.400000,1.571856
1995,1.450000,1.619488
1996,1.540000,1.722080
1997,1.590000,1.769712
1998,1.730000,1.817344
1999,1.860000,1.663456
2000,1.900000,1.604832
2001,2.080000,2.011536
2002,2.130000,1.788032
2003,2.500000,1.883296
2004,2.690000,1.971232
2005,2.860000,2.311984
2006,3,2.337632
2007,3.120000,2.264352
2008,2.970000,2.704032
2009,3.060000,2.762656
2010,3.150000,2.839600
2011,3.160000,2.782096
2012,3.440000,3.355055
2013,3.310000,2.567728
2014,3.670000,3.677997
2015,3.920000,3.851304
2016,4.010000,4.051196
2017,4.240000,4.216153
2018,4.339952,4.154920
2019,4.506764,4.111065
2020,4.666842,3.681840
2021,4.823234,3.724941
2022,5.133014,
