"Year","MRT production Eora 199.082 (2023)"
1970,0.445000
1971,0.415000
1972,0.460000
1973,0.486000
1974,0.502000
1975,0.530000
1976,0.536000
1977,0.576000
1978,0.607000
1979,0.628000
1980,0.649000
1981,0.683000
1982,0.913000
1983,0.969000
1984,0.902000
1985,0.684000
1986,0.419000
1987,3.400000
1988,3.340000
1989,2.950000
1990,0.955000
1991,0.894000
1992,0.908000
1993,0.978000
1994,1.210000
1995,1.140000
1996,1.180000
1997,1.210000
1998,1.190000
1999,1.220000
2000,1.220000
2001,1.290000
2002,1.400000
2003,1.450000
2004,1.590000
2005,1.640000
2006,1.820000
2007,2.090000
2008,2.070000
2009,2.370000
2010,2.610000
2011,2.740000
2012,2.840000
2013,2.880000
2014,2.900000
2015,3.260000
2016,3.490000
2017,3.670000
2018,3.682957
2019,3.893887
2020,4.099868
2021,4.315059
2022,4.418883
