"Year","RUS production EXIOBASE 3.8.2","RUS production WIOD2016","RUS production OECDv2","RUS production Eora 199.082","RUS production FIGARO April 2022","RUS production GCB 2023v26","RUS consumption EXIOBASE 3.8.2","RUS consumption WIOD2016","RUS consumption OECDv2","RUS consumption Eora 199.082","RUS consumption FIGARO April 2022","RUS consumption GCB 2023v26","RUS net_trade EXIOBASE 3.8.2","RUS net_trade WIOD2016","RUS net_trade OECDv2","RUS net_trade Eora 199.082","RUS net_trade FIGARO April 2022","RUS net_trade GCB 2023v26"
2009,1494.961720,1616.533425,1478.887562,1653.660000,,1545.034394,1054.684529,1214.900379,994.509937,1404.481200,,1286.828704,-440.277191,-401.633046,-484.377625,-249.178800,,-258.205690
2010,1588.430205,1712.952672,1580.845032,1731.630000,1723.183084,1632.783158,1153.172054,1290.799078,1067.795762,1495.307626,1345.485889,1361.994639,-435.258150,-422.153594,-513.049270,-236.322374,-377.697195,-270.788520
2011,1666.668178,1790.576936,1654.045325,1818.220000,1808.519239,1685.909605,1193.176064,1376.293840,1122.216695,1585.669037,1421.306230,1424.695340,-473.492115,-414.283097,-531.828629,-232.550963,-387.213009,-261.214265
2012,1614.541927,1775.981244,,1799.710000,1792.135514,1701.268292,1247.697440,1382.885342,,1582.484208,1436.919891,1471.370247,-366.844487,-393.095903,,-217.225792,-355.215623,-229.898046
2013,1578.664288,1742.486833,,1745.100000,1740.311813,1640.437428,1248.577854,1377.690054,,1547.001194,1439.524352,1432.592733,-330.086435,-364.796779,,-198.098806,-300.787461,-207.844695
2014,1549.834851,1723.086129,,1727.070000,1728.353418,1639.959073,1209.121229,1324.808098,,1427.578404,1366.420121,1395.249746,-340.713622,-398.278031,,-299.491596,-361.933297,-244.709327
2015,1528.618343,,,1730.500000,1732.761963,1638.675263,1142.855607,,,1526.109574,1291.751048,1322.600719,-385.762737,,,-204.390426,-441.010915,-316.074545
2016,1508.467605,,,1710.860000,1708.642796,1634.884975,1251.534102,,,1244.131609,1308.943794,1364.733615,-256.933503,,,-466.728391,-399.699002,-270.151360
2017,1533.262633,,,1738.010000,1739.541364,1666.121206,1238.515232,,,1221.059820,1361.413451,1400.290292,-294.747401,,,-516.950180,-378.127913,-265.830914
2018,1592.308642,,,1805.769368,1816.232205,1712.494428,1186.437310,,,1371.564127,1352.930652,1362.672946,-405.871332,,,-434.205240,-463.301553,-349.821482
2019,1581.090195,,,1792.015253,1888.233947,1705.030917,1227.595298,,,1362.665206,1429.184556,1388.432266,-353.494897,,,-429.350047,-459.049391,-316.598651
2020,1627.480009,,,1447.566022,1492.425573,1632.929312,1266.909457,,,1171.450050,1176.790051,1364.417153,-360.570552,,,-276.115972,-315.635522,-268.512159
2021,1822.470949,,,1533.606338,,1711.993315,1448.351745,,,1193.717699,,1359.775917,-374.119204,,,-339.888638,,-352.217398
2022,1853.212306,,,,,,1456.644277,,,,,,-396.568029,,,,,
