"Year","IND production EXIOBASE 3.8.2","IND production WIOD2016","IND production OECDv2","IND production Eora 199.082 (2023)","IND production FIGARO April 2022","IND production GCB 2023v26"
1970,,,,252,,
1971,,,,260,,
1972,,,,276,,
1973,,,,279,,
1974,,,,282,,
1975,,,,304,,
1976,,,,317,,
1977,,,,329,,
1978,,,,331,,
1979,,,,347,,
1980,,,,357,,
1981,,,,385,,
1982,,,,391,,
1983,,,,415,,
1984,,,,430,,
1985,,,,455,,
1986,,,,498,,
1987,,,,528,,
1988,,,,573,,
1989,,,,614,,
1990,,,,669,,577.996047
1991,,,,709,,615.364981
1992,,,,755,,655.447016
1993,,,,779,,677.299236
1994,,,,828,,714.063726
1995,758.396934,,772.457169,874,,760.461621
1996,794.803674,,811.211717,937,,823.620641
1997,838.604706,,853.614830,968,,858.011189
1998,853.997850,,866.617223,979,,875.772340
1999,921.152706,,931.810203,1040,,950.459754
2000,956.255263,994.487716,978.089809,1070,,977.526441
2001,973.697132,1015.449512,994.520169,1060,,990.969539
2002,1007.723756,1046.696334,1025.915102,1060,,1021.664381
2003,1029.667176,1071.957010,1051.796403,1100,,1059.159550
2004,1107.456929,1151.324993,1133.460613,1160,,1125.096301
2005,1171.997692,1217.568491,1191.145047,1210,,1185.674237
2006,1247.707776,1288.891678,1283.352142,1280,,1292.484616
2007,1366.969463,1396.481686,1404.436436,1350,,1392.506008
2008,1454.546353,1484.278612,1483.949974,1490,,1489.437503
2009,1634.791664,1665.699354,1675.603255,1640,,1612.216339
2010,1723.454216,1760.099014,1749.440865,1620,1734.659634,1677.337196
2011,1809.128824,1848.251695,1828.738543,1730,1843.958542,1764.712419
2012,1930.165168,1959.109182,,1880,2015.928880,1925.699719
2013,1995.472767,2017.822802,,1900,2074.606570,1995.098111
2014,2166.211693,2195.307324,,2090,2233.341084,2148.343714
2015,2218.408125,,,2150,2250.495042,2234.219517
2016,2243.463122,,,2230,2293.331705,2354.657978
2017,2336.199099,,,2300,2425.806961,2426.606902
2018,2472.011032,,,2387.496000,2553.109223,2593.057867
2019,2516.582910,,,2446.873000,2562.146758,2612.888038
2020,2708.842579,,,2501.865000,2194.233132,2421.552261
2021,2827.409433,,,2550.784000,,2674.221911
2022,3001.945190,,,2724.465000,,
