"Year","IRN production Eora 199.082 (2023)","IRN production GCB 2023v26"
1970,92.700000,
1971,103,
1972,107,
1973,131,
1974,146,
1975,141,
1976,159,
1977,167,
1978,164,
1979,166,
1980,123,
1981,115,
1982,140,
1983,152,
1984,153,
1985,163,
1986,150,
1987,161,
1988,178,
1989,193,
1990,213,209.943734
1991,230,221.833928
1992,232,226.934892
1993,240,235.606908
1994,268,263.327397
1995,276,269.270074
1996,281,274.926151
1997,275,267.357084
1998,313,303.514222
1999,387,371.973899
2000,378,364.302372
2001,404,386.158181
2002,407,393.409712
2003,424,407.076745
2004,453,437.678926
2005,476,462.002786
2006,517,496.070465
2007,530,502.565413
2008,552,522.557118
2009,566,536.605204
2010,584,552.953089
2011,600,566.288838
2012,622,588.364778
2013,631,597.952346
2014,663,632.673309
2015,660,631.581185
2016,669,633.826880
2017,698,685.401319
2018,723.388100,710.214811
2019,733.669000,694.666497
2020,752.426700,679.007174
2021,772.319200,687.579174
2022,797.755400,
