"Year","PAN production Eora 199.082 (2023)","PAN production GCB 2023v26"
1970,2.700000,
1971,3.100000,
1972,3.530000,
1973,3.990000,
1974,3.870000,
1975,4.790000,
1976,4.650000,
1977,4.610000,
1978,3.940000,
1979,4.230000,
1980,3.130000,
1981,3.350000,
1982,3.300000,
1983,3.500000,
1984,2.890000,
1985,2.750000,
1986,2.760000,
1987,3.210000,
1988,2.940000,
1989,2.540000,
1990,2.770000,2.631999
1991,3.250000,3.104491
1992,4.250000,4.112287
1993,3.930000,3.784946
1994,4.320000,4.177258
1995,2.970000,3.652970
1996,4.610000,4.446773
1997,5.620000,4.630072
1998,5.930000,5.900714
1999,5.650000,5.622234
2000,5.750000,5.728391
2001,6.980000,6.953090
2002,5.840000,5.821097
2003,6.110000,6.090004
2004,5.750000,5.710970
2005,6.780000,6.971338
2006,7.310000,7.524040
2007,7.130000,7.349627
2008,7.220000,7.334595
2009,8.460000,8.460693
2010,9.040000,9.072099
2011,9.940000,9.952930
2012,9.890000,9.768100
2013,10.500000,10.513283
2014,8.590000,10.855411
2015,10.600000,10.788440
2016,11,10.438870
2017,10.900000,11.223156
2018,11.642370,10.755982
2019,12.080390,13.380774
2020,12.618280,10.324345
2021,12.252830,11.689670
2022,12.643370,
