"Year","CAN production EXIOBASE 3.8.2","CAN production WIOD2016","CAN production OECDv2","CAN production Eora 199.082 (2023)","CAN production FIGARO April 2022","CAN production GCB 2023v26","CAN consumption EXIOBASE 3.8.2","CAN consumption WIOD2016","CAN consumption OECDv2","CAN consumption Eora 199.082 (2023)","CAN consumption FIGARO April 2022","CAN consumption GCB 2023v26"
1970,,,,344,,,,,,344.770700,,
1971,,,,352,,,,,,354.433100,,
1972,,,,379,,,,,,384.833500,,
1973,,,,380,,,,,,392.591400,,
1974,,,,384,,,,,,399.489700,,
1975,,,,387,,,,,,406.828600,,
1976,,,,388,,,,,,412.955700,,
1977,,,,397,,,,,,417.691800,,
1978,,,,405,,,,,,423.686800,,
1979,,,,430,,,,,,442.125100,,
1980,,,,431,,,,,,436.325100,,
1981,,,,418,,,,,,425.616400,,
1982,,,,401,,,,,,404.387000,,
1983,,,,397,,,,,,404.413600,,
1984,,,,417,,,,,,413.799900,,
1985,,,,414,,,,,,430.687600,,
1986,,,,398,,,,,,389.672700,,
1987,,,,423,,,,,,414.970300,,
1988,,,,445,,,,,,458.118400,,
1989,,,,451,,,,,,493.579000,,
1990,,,,467,,458.503095,,,,491.867100,,483.279559
1991,,,,457,,450.159602,,,,486.328500,,482.455084
1992,,,,471,,464.012832,,,,487.127700,,495.559688
1993,,,,470,,464.554171,,,,472.208700,,482.682842
1994,,,,486,,479.033003,,,,485.611200,,487.912419
1995,467.434300,,460.118936,498,,491.825697,422.330872,,420.572792,492.934800,,496.028199
1996,481.347640,,475.234707,514,,508.196664,427.976822,,431.338194,497.482000,,505.609579
1997,497.614942,,491.765086,528,,522.577290,452.611400,,460.979424,508.453600,,537.696374
1998,504.379808,,495.853685,537,,530.276273,430.828614,,464.883280,486.809200,,541.417488
1999,515.328698,,507.505664,553,,544.482079,459.058434,,473.688212,492.733200,,541.965400
2000,537.494293,527.300081,528.229950,575,,567.096101,476.693985,456.567883,490.656425,506.711300,,580.913798
2001,531.564155,524.285936,519.936496,568,,559.147040,461.370365,449.829790,481.882158,498.818400,,559.606969
2002,537.171849,529.660471,526.056103,574,,564.373836,471.702927,457.504066,490.393576,506.033000,,582.856186
2003,555.496605,548.110864,548.734700,591,,581.427172,501.501393,492.579552,526.900220,542.699800,,577.371640
2004,549.140828,536.794658,543.080571,590,,579.689422,513.693586,496.511758,536.815415,545.600200,,584.064824
2005,565.623366,556.952113,548.705283,580,,574.763646,537.780788,526.394871,552.962238,547.440900,,608.946856
2006,559.406859,551.961741,540.574149,575,,568.584509,548.103641,539.126012,563.322902,560.581300,,576.085986
2007,593.016431,577.921865,569.612111,599,,593.755254,582.109375,563.932156,588.342301,591.175500,,599.454652
2008,572.199661,553.640917,554.812105,580,,576.808657,567.870892,538.321313,578.786296,579.009700,,583.685696
2009,540.319952,534.637801,520.440328,547,,544.139661,504.459202,534.421457,548.934287,570.758300,,575.210431
2010,556.190704,552.734660,531.937748,561,564.224130,556.062099,541.702231,576.082768,576.153639,595.716500,594.987652,607.099471
2011,567.139822,564.117438,537.178388,570,576.561371,565.254013,546.953052,586.689585,579.415496,603.908500,613.834267,601.281364
2012,567.874277,563.050550,,574,573.463468,565.781728,551.795698,583.750902,,608.986000,601.185177,578.035877
2013,580.191754,574.069837,,581,582.350339,569.539743,545.564955,587.954589,,611.443600,603.224814,577.980976
2014,583.384310,576.979855,,581,588.936245,566.353017,534.512703,569.933861,,590.131500,615.799373,558.723197
2015,579.123733,,,581,586.939895,570.680331,507.482941,,,627.776900,589.680925,541.386572
2016,569.884705,,,568,586.115662,557.689727,524.715648,,,582.495600,577.564418,521.484865
2017,570.661006,,,575,596.807564,566.651892,498.770609,,,582.545300,583.326961,527.748799
2018,585.484481,,,581.697200,609.262813,577.066285,511.133419,,,580.151600,583.934060,528.404420
2019,579.566248,,,580.892500,609.801326,578.587718,509.054029,,,570.088300,585.093274,524.474526
2020,555.861884,,,582.590600,550.909353,522.845296,488.817051,,,590.086600,521.249249,481.262154
2021,609.136549,,,584.531700,,537.173737,531.073812,,,576.122000,,502.000933
2022,594.652866,,,571.410600,,,513.634240,,,558.551700,,
