"Year","SLE production Eora 199.082 (2023)"
1970,0.886000
1971,0.816000
1972,0.692000
1973,0.553000
1974,0.535000
1975,0.539000
1976,0.466000
1977,0.528000
1978,0.726000
1979,0.694000
1980,0.624000
1981,0.709000
1982,0.570000
1983,0.706000
1984,0.633000
1985,0.681000
1986,0.693000
1987,0.517000
1988,0.478000
1989,0.394000
1990,0.508000
1991,0.566000
1992,0.468000
1993,0.467000
1994,0.533000
1995,0.420000
1996,0.493000
1997,0.464000
1998,0.435000
1999,0.388000
2000,0.447000
2001,0.591000
2002,0.629000
2003,0.678000
2004,0.668000
2005,0.574000
2006,0.762000
2007,0.671000
2008,0.694000
2009,0.683000
2010,0.756000
2011,0.929000
2012,1.060000
2013,1.220000
2014,1.330000
2015,1.190000
2016,1.270000
2017,1.330000
2018,1.303983
2019,1.364241
2020,1.420130
2021,1.475819
2022,1.474794
