"Year","VGB production Eora 199.082 (2023)","VGB consumption Eora 199.082 (2023)","VGB net_trade Eora 199.082 (2023)"
1970,0.018500,-0.194922,-0.213422
1971,0.022200,-0.343211,-0.365411
1972,0.022200,-0.530683,-0.552883
1973,0.025900,-0.646563,-0.672463
1974,0.025900,-0.661481,-0.687381
1975,0.025900,-0.439997,-0.465897
1976,0.025900,-0.303752,-0.329652
1977,0.029500,0.042631,0.013131
1978,0.029500,0.012201,-0.017299
1979,0.029600,0.194503,0.164903
1980,0.029600,0.222521,0.192921
1981,0.044200,0.237264,0.193065
1982,0.036900,0.131014,0.094114
1983,0.040600,-0.152962,-0.193562
1984,0.040600,-0.381207,-0.421807
1985,0.047900,0.469749,0.421850
1986,0.055300,-1.567851,-1.623151
1987,0.062600,-1.717689,-1.780289
1988,0.066300,-0.351091,-0.417391
1989,0.066300,0.517522,0.451222
1990,0.066300,0.301089,0.234789
1991,0.066300,0.239167,0.172867
1992,0.070000,-0.240201,-0.310201
1993,0.073700,-2.808535,-2.882235
1994,0.081000,-1.476516,-1.557516
1995,0.084700,0.280814,0.196114
1996,0.095700,0.147759,0.052059
1997,0.099400,0.315185,0.215785
1998,0.103000,0.292183,0.189183
1999,0.103000,0.310320,0.207320
2000,0.103000,0.313498,0.210498
2001,0.107000,0.331182,0.224182
2002,0.114000,0.330673,0.216673
2003,0.121000,0.322339,0.201339
2004,0.125000,0.323974,0.198974
2005,0.133000,0.341515,0.208515
2006,0.143000,0.360196,0.217196
2007,0.151000,0.363082,0.212082
2008,0.162000,0.357373,0.195373
2009,0.165000,0.351738,0.186738
2010,0.173000,0.369919,0.196919
2011,0.177000,0.436622,0.259622
2012,0.177000,0.421238,0.244238
2013,0.177000,0.406481,0.229481
2014,0.183000,0.389418,0.206418
2015,0.186000,0.396631,0.210631
2016,0.192000,0.073415,-0.118585
2017,0.191000,0.061544,-0.129456
2018,0.191000,0.227302,0.036302
2019,0.191000,0.222324,0.031324
2020,0.191000,0.226243,0.035243
2021,0.191000,0.224328,0.033328
2022,0.191000,0.224620,0.033620
