"Year","JAM production Eora 199.082 (2023)","JAM production GCB 2023v26","JAM consumption Eora 199.082 (2023)","JAM consumption GCB 2023v26"
1970,5.020000,,4.524231,
1971,5.780000,,4.967889,
1972,6.320000,,5.147715,
1973,8.320000,,7.090241,
1974,7.640000,,6.785332,
1975,8.220000,,8.020402,
1976,7.310000,,7.448664,
1977,7.470000,,8.301904,
1978,9.150000,,9.708644,
1979,8.570000,,9.382656,
1980,8.480000,,9.395606,
1981,7.440000,,8.664494,
1982,6.250000,,7.134659,
1983,6.480000,,6.813241,
1984,5.180000,,4.983074,
1985,5.070000,,6.103407,
1986,4.580000,,2.640600,
1987,5.410000,,3.403956,
1988,4.560000,,4.800547,
1989,6.760000,,8.391360,
1990,7.560000,7.527165,8.511559,7.464019
1991,7.780000,7.750991,8.229353,7.440585
1992,7.740000,7.708731,7.416264,7.118446
1993,8.030000,8.000958,5.181177,7.805566
1994,8.230000,8.188610,7.067231,7.605972
1995,9.210000,9.173406,10.317950,8.704574
1996,9.720000,9.687622,10.681950,7.289065
1997,10.100000,10.068187,11.155860,7.945052
1998,9.730000,9.694035,10.491910,9.962998
1999,10,9.958188,10.665090,9.677341
2000,10.400000,10.313990,11.196180,6.611248
2001,10.600000,10.576440,11.416940,7.171879
2002,10.300000,10.202580,11.302870,7.170361
2003,10.700000,10.667003,11.706070,7.321504
2004,10.600000,10.574020,11.617570,6.790500
2005,10.400000,10.416481,11.738020,6.971357
2006,11.500000,11.577210,12.878620,7.566074
2007,9.670000,10.749231,11.432680,7.559272
2008,10.200000,10.779635,12.261900,7.022810
2009,7.800000,7.933788,9.515002,5.509392
2010,7.300000,7.677295,9.058389,5.567144
2011,7.840000,8.255605,9.750941,5.886067
2012,7.470000,7.912829,9.435014,5.627046
2013,8.080000,8.492241,9.935284,6.005630
2014,7.460000,7.697454,9.411132,6.043754
2015,7.610000,7.998908,9.518215,6.455139
2016,7.800000,8.163432,7.842219,6.994823
2017,7.720000,7.797546,7.709305,6.304968
2018,7.090886,8.086434,7.490123,7.347539
2019,6.977559,7.823415,7.311846,7.164447
2020,6.888575,6.462606,7.528530,6.886358
2021,6.882240,6.598141,7.290608,7.001476
2022,5.719551,,6.433905,
