"Year","ANT production Eora 199.082 (2023)"
1970,14.100000
1971,12.300000
1972,11.900000
1973,13.200000
1974,12
1975,8.670000
1976,18.500000
1977,9.670000
1978,8.240000
1979,8.640000
1980,8.890000
1981,8.470000
1982,9.470000
1983,4.890000
1984,12.100000
1985,14.200000
1986,3.090000
1987,2.750000
1988,2.710000
1989,5.120000
1990,5.480000
1991,4.410000
1992,3.640000
1993,5.600000
1994,5.370000
1995,5.310000
1996,4.970000
1997,5.200000
1998,0.371000
1999,2.210000
2000,5.710000
2001,5.810000
2002,5.600000
2003,5.610000
2004,5.880000
2005,5.830000
2006,6.080000
2007,6.830000
2008,6.570000
2009,6.720000
2010,4.660000
2011,5.920000
2012,7.110000
2013,6.360000
2014,7.040000
2015,7.190000
2016,7.400000
2017,7.360000
2018,7.360000
2019,7.360000
2020,7.360000
2021,7.360000
2022,7.360000
