"Year","PRY production Eora 199.082 (2023)","PRY production GCB 2023v26","PRY consumption Eora 199.082 (2023)","PRY consumption GCB 2023v26"
1970,0.868000,,-0.035853,
1971,0.742000,,-0.283332,
1972,0.829000,,-0.607377,
1973,0.988000,,-0.751546,
1974,1.090000,,-0.658210,
1975,0.996000,,-0.211187,
1976,1.200000,,0.293689,
1977,1.360000,,1.348904,
1978,1.640000,,1.664896,
1979,1.500000,,2.196021,
1980,1.710000,,2.592837,
1981,1.570000,,2.568620,
1982,1.530000,,2.337526,
1983,1.590000,,1.726752,
1984,1.640000,,1.592807,
1985,1.660000,,2.974435,
1986,1.880000,,-0.922836,
1987,2.140000,,-1.050341,
1988,2.520000,,2.420672,
1989,2.560000,,3.311241,
1990,2.500000,2.135640,3.801308,3.773807
1991,2.480000,2.103445,4.011886,3.821949
1992,3.110000,2.579939,3.753402,4.352888
1993,3.320000,2.914101,-0.941972,4.508973
1994,3.940000,3.404286,2.512888,5.093808
1995,4.500000,3.937149,6.394092,5.594371
1996,4.200000,3.718801,5.830478,5.264393
1997,4.490000,4.127971,6.281633,5.833689
1998,4.650000,4.383911,5.965676,5.717529
1999,4.570000,4.375923,5.635163,5.855212
2000,3.810000,3.606132,5.117195,5.434273
2001,3.990000,3.695507,5.003083,5.470827
2002,4.240000,3.857264,5.353762,5.262815
2003,4.460000,4.031488,5.477691,5.697627
2004,4.570000,4.061307,5.862095,5.928876
2005,4.330000,3.779891,5.841553,5.778284
2006,4.480000,3.908692,6.442203,5.963781
2007,4.550000,4.041562,6.812017,6.795708
2008,4.790000,4.277954,7.701707,8.167239
2009,5.190000,4.531500,7.295156,7.103775
2010,5.520000,5.021793,8.354548,8.729558
2011,5.560000,5.198721,9.115171,9.951679
2012,5.840000,5.173286,9.248186,9.331573
2013,5.840000,5.172147,9.587253,9.840763
2014,6.150000,5.458230,9.701833,10.090154
2015,6.390000,6.047637,9.871780,9.928082
2016,6.660000,7.193354,9.156472,10.655967
2017,6.720000,7.932479,9.392860,11.954798
2018,6.851849,8.400541,11.349000,12.659082
2019,6.868925,8.136722,10.781710,12.562516
2020,7.007215,7.366268,11.149260,11.698336
2021,7.159564,9.243292,11.301380,14.310711
2022,6.823266,,11.180710,
