"Year","UGA production Eora 199.082 (2023)","UGA production GCB 2023v26"
1970,1.480000,
1971,1.470000,
1972,1.410000,
1973,1.210000,
1974,1.230000,
1975,1.170000,
1976,1.030000,
1977,0.842000,
1978,0.737000,
1979,0.713000,
1980,0.667000,
1981,0.569000,
1982,0.589000,
1983,0.659000,
1984,0.628000,
1985,0.666000,
1986,0.753000,
1987,0.821000,
1988,0.918000,
1989,0.858000,
1990,0.815000,0.760855
1991,0.837000,0.779805
1992,0.846000,0.797791
1993,0.841000,0.797457
1994,0.771000,0.708177
1995,0.999000,0.925485
1996,1.110000,1.018092
1997,1.150000,1.061946
1998,1.310000,1.208757
1999,1.360000,1.254724
2000,1.480000,1.360870
2001,1.550000,1.417088
2002,1.600000,1.446221
2003,1.640000,1.512626
2004,1.780000,1.607486
2005,2.200000,2.017931
2006,2.570000,2.383386
2007,2.920000,2.709990
2008,3.160000,2.779614
2009,3.350000,2.999798
2010,3.870000,3.569619
2011,4.180000,3.824069
2012,3.960000,3.626987
2013,4.760000,3.754530
2014,5.110000,4.089666
2015,5.210000,4.525570
2016,5.490000,4.795435
2017,5.710000,5.387882
2018,6.279492,5.523001
2019,6.726795,5.731925
2020,7.332838,5.538408
2021,7.907952,6.039968
2022,7.911919,
