"Year","URY production Eora 199.082","URY production GCB 2023v26","URY consumption Eora 199.082","URY consumption GCB 2023v26"
1990,3.900000,3.967289,5.223163,4.896427
1991,4.430000,4.527678,5.915166,5.428336
1992,4.850000,5.142888,11.081145,6.125788
1993,4.590000,4.439220,20.068864,5.626281
1994,4.330000,4.030404,18.194497,5.376973
1995,4.730000,4.557192,6.416650,6.012641
1996,5.530000,5.405165,25.162233,7.307373
1997,5.620000,5.513665,8.483052,8.001977
1998,5.820000,5.638758,8.167531,8.501574
1999,6.840000,6.682218,9.027901,10.046707
2000,5.480000,5.268017,7.881730,8.004123
2001,5.050000,5.030443,7.316937,7.527654
2002,4.650000,4.557757,6.808461,6.353460
2003,4.620000,4.526888,6.850302,6.176987
2004,5.740000,5.564822,8.493576,7.483142
2005,5.520000,5.726669,8.504482,7.571691
2006,6.460000,6.597095,10.013162,8.313394
2007,5.980000,5.947501,9.764223,8.770536
2008,7.860000,8.201629,12.405547,11.095703
2009,8.010000,7.946771,11.510539,10.178962
2010,6.420000,6.297960,10.726501,9.946044
2011,7.710000,7.652644,12.568665,11.776827
2012,8.790000,8.591791,13.754534,12.787632
2013,7.620000,7.492373,12.647887,12.407913
2014,6.760000,6.684323,11.737353,11.372018
2015,6.810000,6.742026,11.671875,10.747409
2016,6.790000,6.521229,8.874012,9.770795
2017,6.360000,6.162573,8.684733,9.970149
2018,6.428890,6.570970,9.323698,10.550702
2019,6.564950,6.489942,8.939177,10.441715
2020,7.918825,6.477168,10.342833,10.227422
2021,7.247023,8.084270,9.888664,12.034409
2022,,,,
