"Year","ABW production Eora 199.082 (2023)"
1970,2.650000
1971,2.310000
1972,2.240000
1973,2.480000
1974,2.250000
1975,1.640000
1976,3.470000
1977,1.830000
1978,1.560000
1979,1.640000
1980,1.680000
1981,1.610000
1982,1.790000
1983,0.938000
1984,2.290000
1985,2.680000
1986,0.215000
1987,0.482000
1988,0.647000
1989,0.684000
1990,1.680000
1991,1.720000
1992,1.500000
1993,1.640000
1994,1.660000
1995,1.710000
1996,1.740000
1997,1.790000
1998,1.850000
1999,1.860000
2000,2.430000
2001,2.460000
2002,2.490000
2003,2.620000
2004,2.670000
2005,2.780000
2006,2.770000
2007,2.880000
2008,2.720000
2009,2.690000
2010,2.570000
2011,2.560000
2012,1.410000
2013,0.922000
2014,0.934000
2015,0.953000
2016,0.980000
2017,0.976000
2018,1.766425
2019,1.778373
2020,2.050499
2021,2.095660
2022,0.976000
