"Year","BEN production Eora 199.082 (2023)","BEN production GCB 2023v26","BEN consumption Eora 199.082 (2023)","BEN consumption GCB 2023v26"
1970,0.301000,,-0.137345,
1971,0.312000,,-0.436452,
1972,0.408000,,-0.790494,
1973,0.401000,,-0.961914,
1974,0.427000,,-0.863263,
1975,0.464000,,-0.334132,
1976,0.281000,,-0.170958,
1977,0.319000,,0.587797,
1978,0.385000,,0.638645,
1979,0.528000,,1.176547,
1980,0.531000,,1.294529,
1981,0.443000,,1.117017,
1982,0.503000,,0.840051,
1983,0.467000,,0.203951,
1984,0.514000,,-0.024383,
1985,0.756000,,1.385505,
1986,0.697000,,-2.768292,
1987,0.549000,,-3.733643,
1988,0.570000,,-0.343640,
1989,0.642000,,1.166026,
1990,0.716000,0.579346,1.205484,0.931598
1991,0.828000,0.619650,1.339287,0.988598
1992,0.903000,0.670946,0.660778,1.038275
1993,1.130000,0.807422,-3.054157,1.158733
1994,1.260000,0.911527,-0.763267,1.339558
1995,1.320000,0.956267,1.749162,1.429004
1996,1.280000,1.183806,1.488349,1.700873
1997,1.250000,1.223975,1.634455,1.903087
1998,1.240000,1.113856,1.577208,2.002131
1999,1.600000,1.461936,1.929286,2.003480
2000,1.630000,1.472928,1.843078,2.393303
2001,1.840000,1.689104,2.127752,3.085640
2002,2.110000,2.110055,2.409058,3.276151
2003,2.390000,2.393998,2.800215,3.726517
2004,2.540000,2.593600,2.997516,3.510587
2005,2.430000,2.489730,2.903036,3.754677
2006,3.780000,3.351106,4.248379,5.723396
2007,4.380000,3.930960,4.883551,6.335108
2008,4.320000,3.918994,4.872665,7.529953
2009,4.570000,4.224517,5.097170,6.459591
2010,5.010000,4.679390,5.522001,7.187824
2011,5.190000,4.479719,5.705625,8.950583
2012,5.370000,4.402539,5.873223,7.213473
2013,5.720000,4.565975,6.345596,7.706255
2014,6.230000,4.796000,6.802113,7.646437
2015,6.510000,5.328876,7.070013,7.815488
2016,6.920000,6.494014,6.406608,7.653656
2017,7.250000,6.804151,6.499143,7.701993
2018,7.621264,7.434497,7.870037,7.915447
2019,7.960557,7.116143,7.905265,7.466992
2020,8.298676,7.744662,8.075963,8.525474
2021,8.636997,8.295239,8.296057,9.239166
2022,9.061560,,8.613696,
