"Year","ROU production EXIOBASE 3.8.2","ROU production WIOD2016","ROU production OECDv2","ROU production Eora 199.082 (2023)","ROU production FIGARO April 2022","ROU production GCB 2023v26","ROU production Eurostat NAMEA","ROU consumption EXIOBASE 3.8.2","ROU consumption WIOD2016","ROU consumption OECDv2","ROU consumption Eora 199.082 (2023)","ROU consumption FIGARO April 2022","ROU consumption GCB 2023v26","ROU net_trade EXIOBASE 3.8.2","ROU net_trade WIOD2016","ROU net_trade OECDv2","ROU net_trade Eora 199.082 (2023)","ROU net_trade FIGARO April 2022","ROU net_trade GCB 2023v26"
1970,,,,128,,,,,,,124.979900,,,,,,-3.020100,,
1971,,,,133,,,,,,,128.990500,,,,,,-4.009500,,
1972,,,,140,,,,,,,132.311200,,,,,,-7.688800,,
1973,,,,151,,,,,,,141.804800,,,,,,-9.195200,,
1974,,,,156,,,,,,,143.986400,,,,,,-12.013600,,
1975,,,,165,,,,,,,154.032000,,,,,,-10.968000,,
1976,,,,177,,,,,,,166.566800,,,,,,-10.433200,,
1977,,,,180,,,,,,,172.228100,,,,,,-7.771900,,
1978,,,,193,,,,,,,184.129900,,,,,,-8.870100,,
1979,,,,196,,,,,,,187.757700,,,,,,-8.242300,,
1980,,,,193,,,,,,,182.633400,,,,,,-10.366600,,
1981,,,,193,,,,,,,189.165200,,,,,,-3.834800,,
1982,,,,192,,,,,,,186.571600,,,,,,-5.428400,,
1983,,,,194,,,,,,,185.769900,,,,,,-8.230100,,
1984,,,,192,,,,,,,179.557300,,,,,,-12.442700,,
1985,,,,197,,,,,,,195.646200,,,,,,-1.353800,,
1986,,,,205,,,,,,,175.328500,,,,,,-29.671500,,
1987,,,,211,,,,,,,178.011400,,,,,,-32.988600,,
1988,,,,205,,,,,,,186.426400,,,,,,-18.573600,,
1989,,,,212,,,,,,,196.219900,,,,,,-15.780100,,
1990,,,,171,,176.506904,,,,,152.131400,,163.269771,,,,-18.868600,,-13.237133
1991,,,,141,,142.208210,,,,,117.585900,,129.979949,,,,-23.414100,,-12.228261
1992,,,,133,,132.011249,,,,,103.714100,,120.334653,,,,-29.285900,,-11.676596
1993,,,,126,,122.693801,,,,,86.702670,,111.950128,,,,-39.297330,,-10.743674
1994,,,,125,,120.904659,,,,,79.225330,,104.349050,,,,-45.774670,,-16.555609
1995,122.445684,,117.490003,129,,125.711850,,103.013397,,100.260448,111.495600,,105.510207,-19.432286,,-17.229555,-17.504400,,-20.201643
1996,125.825886,,121.667096,132,,129.147248,,102.289970,,105.225192,114.228300,,101.578555,-23.535916,,-16.441904,-17.771700,,-27.568693
1997,115.239401,,111.816045,126,,118.156416,,99.682599,,93.691897,107.090200,,90.314971,-15.556803,,-18.124148,-18.909800,,-27.841445
1998,101.299732,,97.236426,111,,104.860488,,93.837262,,88.634197,97.387620,,88.196567,-7.462470,,-8.602229,-13.612380,,-16.663921
1999,87.502037,,83.813177,92.600000,,89.010048,,76.129742,,72.726683,81.706180,,79.462295,-11.372295,,-11.086494,-10.893820,,-9.547753
2000,90.787558,97.555226,87.062743,97.100000,,93.334042,,75.019795,78.294159,75.146838,86.282110,,90.067652,-15.767763,-19.261067,-11.915905,-10.817890,,-3.266390
2001,95.811580,103.134058,91.697062,103,,98.987941,,80.794452,86.069719,86.262217,93.414160,,96.309168,-15.017128,-17.064338,-5.434846,-9.585840,,-2.678773
2002,95.231646,103.954337,91.211453,104,,99.297707,,80.486667,83.317444,79.679236,95.299360,,95.981039,-14.744979,-20.636893,-11.532217,-8.700640,,-3.316667
2003,101.172895,109.768933,97.045203,107,,103.817106,,83.956593,92.171119,87.745827,101.210300,,97.555017,-17.216303,-17.597814,-9.299376,-5.789700,,-6.262089
2004,98.431442,107.786106,94.565278,106,,103.276914,,90.371255,92.054064,83.586003,103.759900,,98.725483,-8.060188,-15.732041,-10.979275,-2.240100,,-4.551432
2005,98.472079,107.020916,94.446019,104,,101.836696,,98.995701,96.027666,90.990357,105.285200,,100.751710,0.523622,-10.993250,-3.455662,1.285200,,-1.084986
2006,102.080392,108.607067,96.697646,107,,104.296047,,114.446541,105.684296,97.725620,112.501400,,105.528159,12.366149,-2.922772,1.027974,5.501400,,1.232112
2007,100.262671,106.153911,94.038733,109,,109.019590,,118.669974,110.354846,99.605805,119.734800,,113.259349,18.407303,4.200936,5.567072,10.734800,,4.239759
2008,99.078055,106.067847,92.562053,107,,107.894495,108.349973,115.799450,115.362990,101.874192,120.178200,,116.524370,16.721394,9.295143,9.312139,13.178200,,8.629875
2009,84.040039,87.649861,78.572894,88.500000,,88.482225,88.640296,91.633015,95.987133,82.604582,97.843240,,92.822894,7.592976,8.337272,4.031688,9.343240,,4.340670
2010,80.978165,84.858768,75.440974,84.700000,81.207620,86.094088,86.295847,88.423229,91.764851,80.125344,95.886330,88.578952,94.068199,7.445063,6.906083,4.684371,11.186330,7.371332,7.974111
2011,87.794383,91.146184,81.656029,90.600000,89.694321,92.803518,94.478234,96.446022,94.574864,82.964801,102.207600,95.639241,96.307660,8.651639,3.428680,1.308772,11.607600,5.944920,3.504142
2012,85.473644,88.373011,,87.300000,87.883623,91.126708,95.345402,88.602126,90.583740,,96.802300,90.490674,92.920493,3.128482,2.210729,,9.502300,2.607051,1.793786
2013,75.731524,79.583282,,77.800000,79.355370,79.365576,81.469670,76.833498,83.787948,,89.540210,81.273982,79.705415,1.101974,4.204666,,11.740210,1.918612,0.339840
2014,75.522517,80.216335,,78.200000,79.920558,79.126881,80.829367,76.695308,85.408655,,88.634360,81.552494,81.626989,1.172791,5.192320,,10.434360,1.631936,2.500107
2015,74.119036,,,78.400000,81.338823,78.031914,80.278334,76.443684,,,89.152700,85.215875,79.494638,2.324648,,,10.752700,3.877052,1.462725
2016,72.391046,,,76.400000,79.217204,76.714540,79.764261,78.663336,,,-41.311390,85.467695,80.770880,6.272290,,,-117.711390,6.250491,4.056341
2017,75.477460,,,75.600000,82.553893,79.648909,83.260902,81.755669,,,-45.369600,91.543639,84.832678,6.278209,,,-120.969600,8.989746,5.183769
2018,75.008425,,,80.001870,83.286165,80.279683,85.346991,84.449020,,,90.813900,96.123468,88.384984,9.440595,,,10.812030,12.837303,8.105300
