"Year","EGY production Eora 199.082 (2023)","EGY production GCB 2023v26"
1970,24.400000,
1971,25.800000,
1972,28.700000,
1973,26.500000,
1974,29.100000,
1975,34.600000,
1976,38.600000,
1977,42.400000,
1978,44.300000,
1979,48.500000,
1980,51.400000,
1981,57.800000,
1982,64.100000,
1983,64.700000,
1984,72,
1985,72.200000,
1986,84.100000,
1987,84.700000,
1988,84.400000,
1989,81.700000,
1990,85.500000,75.217533
1991,85.200000,77.295842
1992,84.700000,79.939884
1993,94.200000,92.277980
1994,84.200000,88.372733
1995,92.200000,98.994499
1996,96.300000,97.950855
1997,99.400000,111.704885
1998,110,125.025715
1999,112,128.221105
2000,123,143.836043
2001,116,127.656532
2002,121,129.154996
2003,143,149.919386
2004,150,152.575693
2005,169,168.216820
2006,181,179.194147
2007,190,188.805041
2008,199,197.727721
2009,206,206.477902
2010,206,203.607575
2011,222,216.917285
2012,219,213.733512
2013,215,211.418911
2014,205,226.899334
2015,210,224.479730
2016,219,239.385584
2017,221,260.110602
2018,212.204900,243.907877
2019,218.139100,256.140175
2020,224.875500,227.637955
2021,231.958700,246.673748
2022,265.214400,
