"Year","KGZ production Eora 199.082 (2023)","KGZ production GCB 2023v26","KGZ consumption Eora 199.082 (2023)","KGZ consumption GCB 2023v26"
1970,13.900000,,7.503416,
1971,14.600000,,5.259192,
1972,15.300000,,2.041777,
1973,16,,0.578399,
1974,16.600000,,2.485038,
1975,17.400000,,7.531592,
1976,17.900000,,10.477170,
1977,18.500000,,15.420860,
1978,19.100000,,14.735930,
1979,19.300000,,16.119250,
1980,20,,16.576930,
1981,19.500000,,16.222470,
1982,19.800000,,16.254100,
1983,20,,15.304120,
1984,20.100000,,12.797160,
1985,21.600000,,19.316460,
1986,21.800000,,-9.390583,
1987,22.500000,,-17.038860,
1988,22.900000,,11.531330,
1989,22.300000,,21.057880,
1990,20.800000,18.997598,26.730820,19.793203
1991,17.900000,15.656505,19.626440,17.471940
1992,14.800000,11.041681,11.731570,17.932382
1993,11.900000,8.468166,-1.845491,13.267296
1994,8.830000,6.144479,2.349561,10.715779
1995,5.720000,4.506950,6.009678,10.800307
1996,5.910000,5.651918,6.146006,8.798269
1997,6.720000,5.560681,6.482164,5.326103
1998,5.700000,5.900999,5.792307,10.823384
1999,5.230000,4.642439,5.069984,5.819630
2000,5.140000,4.575258,4.799571,6.183947
2001,4.880000,3.856740,4.715783,4.718982
2002,5.100000,4.917247,5.022472,5.641892
2003,5.260000,5.375527,5.469482,5.231760
2004,5.480000,5.808160,5.748178,6.642398
2005,5.550000,5.519072,5.966078,7.392546
2006,5.690000,5.460630,6.652732,8.665097
2007,6.670000,6.522285,7.524706,9.615449
2008,7.530000,7.480887,8.856598,16.268403
2009,7.110000,6.709287,7.968733,13.083510
2010,6.570000,6.355656,7.648658,11.360676
2011,7.730000,7.620172,8.972983,12.876617
2012,10.200000,10.086689,11.030440,18.095176
2013,9.830000,9.733813,10.707830,17.095972
2014,9.590000,10.236388,10.263770,17.914326
2015,9.540000,10.264781,10.399890,16.089672
2016,9.540000,9.621676,9.628670,17.044819
2017,9.350000,9.360708,9.145233,16.621490
2018,10.181720,11.171519,13.022050,19.725490
2019,10.401920,9.046309,12.883130,17.327091
2020,10.597680,8.348849,13.215500,16.152744
2021,10.846650,9.424165,13.118570,18.007009
2022,9.096501,,12.241550,
