"Year","BHS production Eora 199.082 (2023)","BHS consumption Eora 199.082 (2023)"
1970,2.790000,2.209175
1971,6.950000,5.807183
1972,6.710000,5.124486
1973,8.100000,6.265609
1974,7.620000,5.877833
1975,8.490000,7.175498
1976,6.710000,5.834053
1977,9.970000,9.521167
1978,6.860000,6.606494
1979,7.180000,7.131828
1980,8.240000,8.029426
1981,3.070000,3.492881
1982,2.540000,2.884500
1983,2.300000,2.326872
1984,2.170000,2.047585
1985,1.810000,3.004003
1986,1.710000,0.120412
1987,1.730000,0.175458
1988,1.850000,2.268232
1989,2.270000,4.180216
1990,2.270000,3.805245
1991,2.110000,3.630144
1992,2.130000,2.850116
1993,2.040000,-0.418866
1994,2.040000,1.347125
1995,2.030000,3.507351
1996,2.030000,3.252936
1997,1.730000,3.128347
1998,2.050000,3.356695
1999,2.050000,3.319053
2000,2.050000,3.393653
2001,1.960000,3.266993
2002,1.970000,3.188224
2003,1.920000,3.101319
2004,2.130000,3.281115
2005,2.150000,3.389359
2006,2.080000,3.480329
2007,2.110000,3.480906
2008,1.920000,3.258625
2009,2.070000,3.286145
2010,2.090000,3.298996
2011,2.310000,3.557288
2012,2.420000,3.646670
2013,3.260000,4.393722
2014,2.870000,4.050279
2015,2.930000,4.026792
2016,3.010000,3.191670
2017,3,3.340486
2018,2.918998,3.418771
2019,2.993174,3.442576
2020,3.066947,3.704782
2021,3.141452,3.524542
2022,3.016915,3.423358
