"Year","LKA production Eora 199.082 (2023)","LKA production GCB 2023v26","LKA consumption Eora 199.082 (2023)","LKA consumption GCB 2023v26"
1970,3.820000,,3.802351,
1971,3.440000,,3.048981,
1972,3.760000,,2.864089,
1973,3.910000,,2.870046,
1974,3.230000,,2.424639,
1975,3.070000,,2.794575,
1976,3.020000,,3.409441,
1977,3.150000,,4.152775,
1978,3.730000,,4.447534,
1979,4.090000,,5.458468,
1980,3.690000,,5.608452,
1981,4.260000,,5.839191,
1982,4.930000,,6.330592,
1983,5.220000,,5.923448,
1984,4.270000,,4.755433,
1985,4.270000,,6.582716,
1986,3.950000,,1.881679,
1987,4.340000,,2.073533,
1988,3.800000,,3.948764,
1989,3.770000,,5.079034,
1990,4.140000,3.830820,5.231669,6.343001
1991,4.460000,4.138236,5.812755,6.990296
1992,5.450000,5.106336,5.951572,7.960885
1993,5.340000,4.975431,2.943862,7.986780
1994,5.790000,5.435205,5.282578,8.717576
1995,6.150000,5.814277,7.838805,9.301831
1996,7.320000,6.970579,8.601825,10.185392
1997,7.850000,7.520293,9.055325,10.310452
1998,8.100000,7.735926,9.159465,11.084206
1999,8.920000,8.516617,9.678205,14.066881
2000,10.500000,10.134099,11.176970,18.595691
2001,10.700000,10.326369,10.927870,19.182926
2002,11.300000,10.948020,11.379590,21.159218
2003,11.300000,10.953041,11.746290,17.645142
2004,12.600000,12.147363,13.102650,20.020538
2005,12.400000,11.935225,13.297270,20.307087
2006,12.300000,11.792541,14.362810,20.798270
2007,12.600000,12.151910,14.982400,19.309919
2008,12.600000,11.987291,16.459980,20.627058
2009,13.600000,12.944645,16.828670,19.107841
2010,13.700000,13.050987,17.766410,22.032975
2011,15.600000,14.886152,21.198910,29.540991
2012,16.600000,15.798102,22.297210,29.566634
2013,16,14.510512,21.757020,30.349928
2014,19,17.420011,24.430280,32.117557
2015,23.600000,19.687387,28.103160,34.668575
2016,26.700000,22.986969,38.304360,38.622720
2017,28.500000,22.872901,39.513610,37.210196
2018,32.077920,20.096861,43.815920,35.695939
2019,35.451670,21.232161,47.113510,36.501128
2020,39.154770,20.624665,50.717270,36.377250
2021,43.130880,20.091445,54.351270,38.373955
2022,28.274590,,41.087140,
