"Year","GAB production Eora 199.082 (2023)","GAB consumption Eora 199.082 (2023)"
1970,2.090000,1.546217
1971,2.850000,1.936208
1972,2.750000,1.385725
1973,5.320000,3.665123
1974,5.460000,3.814084
1975,5.420000,4.333006
1976,5.720000,4.859304
1977,6.320000,6.266548
1978,7.560000,7.229654
1979,6.760000,6.703149
1980,6.640000,6.495259
1981,6.580000,6.424683
1982,6.550000,6.209791
1983,5.520000,4.821161
1984,6,4.993809
1985,6.320000,6.478373
1986,4.970000,2.454577
1987,4.030000,1.302082
1988,4.340000,3.657038
1989,5.780000,6.037583
1990,4.510000,4.881677
1991,4.550000,4.879412
1992,4.940000,4.462339
1993,5,0.758821
1994,4.400000,1.870398
1995,4.630000,4.273870
1996,4.780000,4.189656
1997,4.800000,4.245278
1998,4.980000,4.442102
1999,4.810000,3.984176
2000,4.700000,3.557641
2001,4.800000,3.739127
2002,4.570000,3.693558
2003,4.630000,3.831400
2004,4.680000,3.796229
2005,4.880000,3.840367
2006,4.170000,3.431264
2007,4.110000,3.506759
2008,4.170000,3.503313
2009,4.240000,3.734728
2010,4.810000,3.897855
2011,4.960000,5.139738
2012,5.110000,5.130129
2013,5.290000,5.480717
2014,5.100000,5.324851
2015,4.810000,5.221938
2016,4.820000,4.404866
2017,4.710000,4.018033
2018,4.964595,4.836056
2019,4.926854,4.742844
2020,4.899306,4.733259
2021,4.874210,4.658559
2022,4.747368,4.597325
