"Year","NIC production Eora 199.082 (2023)","NIC production GCB 2023v26","NIC consumption Eora 199.082 (2023)","NIC consumption GCB 2023v26"
1970,1.440000,,0.942782,
1971,1.550000,,0.721819,
1972,1.650000,,0.356575,
1973,1.900000,,0.391433,
1974,2,,0.522970,
1975,1.970000,,0.966472,
1976,2.280000,,1.565095,
1977,2.910000,,2.862155,
1978,2.700000,,2.574426,
1979,1.760000,,1.897856,
1980,2.090000,,2.260738,
1981,2.200000,,2.413839,
1982,2.180000,,2.127228,
1983,2.100000,,1.635940,
1984,1.930000,,1.238056,
1985,2.080000,,2.445688,
1986,2.380000,,-0.028040,
1987,2.510000,,-0.048805,
1988,2.360000,,1.947361,
1989,1.520000,,2.394770,
1990,2.110000,2.043946,2.717785,2.688291
1991,2.050000,1.986324,2.758358,2.651224
1992,2.440000,2.372617,2.404756,3.178661
1993,2.340000,2.282398,-0.915985,3.024443
1994,2.560000,2.517961,0.989372,3.231359
1995,2.820000,2.755058,3.334923,3.434681
1996,2.920000,2.847245,3.303889,3.427628
1997,3.180000,3.114466,3.815535,3.783805
1998,3.450000,3.392724,3.945010,4.207805
1999,3.660000,3.597173,4.228819,4.498057
2000,3.780000,3.721323,4.296498,4.427867
2001,3.970000,3.921750,4.428410,4.589179
2002,4.040000,3.989804,4.469905,4.567130
2003,4.410000,4.335226,4.785093,5.009791
2004,4.440000,4.377836,4.847134,5.169339
2005,4.320000,4.270096,4.800786,5.152828
2006,4.500000,4.418076,5.002416,5.677999
2007,4.650000,4.550682,5.253226,6.140945
2008,4.460000,4.365500,5.234457,5.656179
2009,4.520000,4.445091,5.155473,5.532294
2010,4.580000,4.467845,5.297785,5.361800
2011,4.870000,4.805903,5.709100,5.493579
2012,4.650000,4.549767,5.584274,5.706562
2013,4.580000,4.605408,5.450001,5.771595
2014,4.880000,4.745122,5.712193,6.441702
2015,5.700000,5.430953,6.418596,7.421928
2016,5.940000,5.406146,6.019511,7.436215
2017,5.900000,5.461305,5.855633,7.257392
2018,5.638102,5.199214,5.805547,6.887707
2019,5.456232,5.222552,5.657001,6.701651
2020,5.431708,4.748407,5.832766,5.979077
2021,5.431659,5.371884,5.730184,6.760006
2022,6.341589,,6.146338,
