"Year","LVA production EXIOBASE 3.8.2","LVA production WIOD2016","LVA production OECDv2","LVA production Eora 199.082 (2023)","LVA production FIGARO April 2022","LVA production GCB 2023v26","LVA production Eurostat NAMEA","LVA consumption EXIOBASE 3.8.2","LVA consumption WIOD2016","LVA consumption OECDv2","LVA consumption Eora 199.082 (2023)","LVA consumption FIGARO April 2022","LVA consumption GCB 2023v26","LVA net_trade EXIOBASE 3.8.2","LVA net_trade WIOD2016","LVA net_trade OECDv2","LVA net_trade Eora 199.082 (2023)","LVA net_trade FIGARO April 2022","LVA net_trade GCB 2023v26"
1970,,,,12.300000,,,,,,,11.752270,,,,,,-0.547730,,
1971,,,,13,,,,,,,11.467190,,,,,,-1.532810,,
1972,,,,14,,,,,,,11.054850,,,,,,-2.945150,,
1973,,,,14.800000,,,,,,,11.186570,,,,,,-3.613430,,
1974,,,,15.700000,,,,,,,12.181880,,,,,,-3.518120,,
1975,,,,16.600000,,,,,,,14.173560,,,,,,-2.426440,,
1976,,,,17.100000,,,,,,,15.417830,,,,,,-1.682170,,
1977,,,,17.700000,,,,,,,17.699120,,,,,,-0.000880,,
1978,,,,18.700000,,,,,,,18.369420,,,,,,-0.330580,,
1979,,,,18.900000,,,,,,,19.309500,,,,,,0.409500,,
1980,,,,19.400000,,,,,,,19.842930,,,,,,0.442930,,
1981,,,,19.500000,,,,,,,20.185340,,,,,,0.685340,,
1982,,,,19.700000,,,,,,,20.290100,,,,,,0.590100,,
1983,,,,19.900000,,,,,,,19.778800,,,,,,-0.121200,,
1984,,,,19.700000,,,,,,,18.989710,,,,,,-0.710290,,
1985,,,,20.700000,,,,,,,23.791500,,,,,,3.091500,,
1986,,,,20.400000,,,,,,,10.487910,,,,,,-9.912090,,
1987,,,,21,,,,,,,8.571635,,,,,,-12.428365,,
1988,,,,21.200000,,,,,,,20.643680,,,,,,-0.556320,,
1989,,,,21.200000,,,,,,,27.180640,,,,,,5.980640,,
1990,,,,19.900000,,19.662721,,,,,26.127990,,21.564166,,,,6.227990,,1.901445
1991,,,,18.100000,,17.920696,,,,,19.196500,,19.855291,,,,1.096500,,1.934594
1992,,,,14.400000,,14.194646,,,,,9.574528,,18.396790,,,,-4.825472,,4.202143
1993,,,,12.100000,,11.922756,,,,,4.330469,,14.633428,,,,-7.769531,,2.710671
1994,,,,10.600000,,10.371239,,,,,6.685597,,13.749441,,,,-3.914403,,3.378202
1995,10.798796,,8.866551,9.390000,,9.134976,,10.334131,,10.814866,9.637908,,12.694424,-0.464664,,1.948315,0.247908,,3.559448
1996,10.923018,,8.843941,9.470000,,9.212675,,9.873730,,10.534306,10.256660,,14.257127,-1.049288,,1.690364,0.786660,,5.044452
1997,10.743318,,8.374149,8.940000,,8.680906,,14.645761,,10.856188,10.062770,,13.656008,3.902444,,2.482039,1.122770,,4.975102
1998,10.560502,,8.023189,8.570000,,8.306996,,14.226617,,10.033441,10.291160,,13.442500,3.666115,,2.010252,1.721160,,5.135503
1999,10.036091,,7.384433,7.990000,,7.718816,,14.654563,,9.952398,9.792609,,12.328661,4.618471,,2.567965,1.802609,,4.609845
2000,9.447175,8.298488,6.835199,7.360000,,7.082575,8.144488,14.097485,11.572275,9.703115,9.113220,,14.695276,4.650310,3.273787,2.867916,1.753220,,7.612701
2001,9.979100,8.794408,7.222248,7.760000,,7.497437,8.814328,13.859980,11.932402,10.182548,9.745610,,13.716089,3.880880,3.137994,2.960300,1.985610,,6.218653
2002,10.115137,8.742342,7.220480,7.790000,,7.521355,8.789645,13.427412,11.752237,10.450522,9.894730,,13.567733,3.312276,3.009895,3.230042,2.104730,,6.046378
2003,10.147292,8.696480,7.454235,8.010000,,7.726979,8.738853,14.373429,12.267840,12.030385,10.482050,,14.597394,4.226137,3.571360,4.576150,2.472050,,6.870415
2004,10.398837,8.721660,7.492287,8.020000,,7.732137,8.764280,14.089473,12.838850,11.749860,11.010530,,13.944328,3.690636,4.117190,4.257574,2.990530,,6.212190
2005,10.553277,8.824688,7.563480,8.080000,,7.811700,8.859867,14.267164,12.831092,12.077546,11.238320,,13.415295,3.713887,4.006404,4.514067,3.158320,,5.603594
2006,11.434195,9.623162,8.001949,8.640000,,8.310876,9.673931,15.884789,14.817129,13.021024,13.024940,,15.213659,4.450594,5.193967,5.019074,4.384940,,6.902783
2007,12.280103,10.389788,8.364278,8.990000,,8.638660,10.454088,17.398213,16.633659,14.211923,14.592960,,17.738579,5.118110,6.243871,5.847644,5.602960,,9.099919
2008,11.566359,10.025555,7.930595,8.600000,,8.198938,10.059078,17.194452,14.974003,13.089784,14.128230,,16.233245,5.628092,4.948448,5.159189,5.528230,,8.034307
2009,10.135135,8.903694,7.179508,7.810000,,7.456832,8.870743,13.714652,11.365665,9.514326,11.958070,,12.022065,3.579517,2.461971,2.334818,4.148070,,4.565232
2010,11.260335,10.362653,8.101166,8.920000,10.193008,8.555267,10.187574,12.949365,11.881439,9.804817,12.927740,14.322719,13.358585,1.689030,1.518786,1.703651,4.007740,4.129711,4.803318
2011,10.445073,9.321036,7.369391,8.180000,9.304022,7.811917,9.305149,13.764116,12.327164,10.188146,12.843740,14.376159,13.471129,3.319043,3.006128,2.818754,4.663740,5.072137,5.659213
2012,9.964803,8.874634,,7.930000,8.899599,7.520586,8.897403,12.406431,11.888422,,12.584230,13.799848,13.312689,2.441627,3.013788,,4.654230,4.900249,5.792102
2013,9.925497,8.705476,,7.780000,8.673494,7.369655,8.660932,12.315182,11.755041,,12.444830,12.887838,12.742828,2.389686,3.049565,,4.664830,4.214344,5.373173
2014,9.927527,8.695804,,7.600000,8.676057,7.173207,8.662676,12.104339,11.701408,,11.803860,13.205845,11.874333,2.176812,3.005604,,4.203860,4.529788,4.701126
2015,10.169290,,,7.700000,8.893315,7.263453,8.900573,12.168002,,,11.918390,12.987701,11.969690,1.998713,,,4.218390,4.094386,4.706236
2016,9.964986,,,7.660000,8.783040,7.211637,8.797239,11.475585,,,11.305820,11.995433,12.027014,1.510599,,,3.645820,3.212393,4.815377
2017,10.103721,,,7.670000,9.016572,7.216303,9.030052,11.697775,,,11.350160,12.256376,14.267511,1.594054,,,3.680160,3.239804,7.051208
2018,10.373664,,,7.803252,9.676837,7.863008,9.693473,11.843145,,,13.365380,13.753091,16.078553,1.469481,,,5.562128,4.076254,8.215545
