"Year","KGZ production Eora 199.082 (2023)","KGZ production GCB 2023v26"
1970,13.900000,
1971,14.600000,
1972,15.300000,
1973,16,
1974,16.600000,
1975,17.400000,
1976,17.900000,
1977,18.500000,
1978,19.100000,
1979,19.300000,
1980,20,
1981,19.500000,
1982,19.800000,
1983,20,
1984,20.100000,
1985,21.600000,
1986,21.800000,
1987,22.500000,
1988,22.900000,
1989,22.300000,
1990,20.800000,18.997598
1991,17.900000,15.656505
1992,14.800000,11.041681
1993,11.900000,8.468166
1994,8.830000,6.144479
1995,5.720000,4.506950
1996,5.910000,5.651918
1997,6.720000,5.560681
1998,5.700000,5.900999
1999,5.230000,4.642439
2000,5.140000,4.575258
2001,4.880000,3.856740
2002,5.100000,4.917247
2003,5.260000,5.375527
2004,5.480000,5.808160
2005,5.550000,5.519072
2006,5.690000,5.460630
2007,6.670000,6.522285
2008,7.530000,7.480887
2009,7.110000,6.709287
2010,6.570000,6.355656
2011,7.730000,7.620172
2012,10.200000,10.086689
2013,9.830000,9.733813
2014,9.590000,10.236388
2015,9.540000,10.264781
2016,9.540000,9.621676
2017,9.350000,9.360708
2018,10.181720,11.171519
2019,10.401920,9.046309
2020,10.597680,8.348849
2021,10.846650,9.424165
2022,9.096501,
