"Year","SWZ production Eora 199.082 (2023)"
1970,0.369000
1971,0.403000
1972,0.384000
1973,0.374000
1974,0.315000
1975,0.341000
1976,0.337000
1977,0.345000
1978,0.444000
1979,0.452000
1980,0.471000
1981,0.441000
1982,0.441000
1983,0.277000
1984,0.338000
1985,0.445000
1986,0.464000
1987,0.442000
1988,0.442000
1989,0.442000
1990,0.432000
1991,0.332000
1992,0.270000
1993,0.138000
1994,0.489000
1995,0.460000
1996,0.346000
1997,1.210000
1998,1.220000
1999,1.240000
2000,1.190000
2001,1.150000
2002,1.130000
2003,1.050000
2004,1.040000
2005,1.020000
2006,1.020000
2007,1.070000
2008,1.100000
2009,1.050000
2010,1.050000
2011,1.050000
2012,1.220000
2013,1.090000
2014,1.210000
2015,1.240000
2016,1.270000
2017,1.350000
2018,1.350000
2019,1.350000
2020,1.350000
2021,1.350000
2022,0.644517
