"Year","SVN production EXIOBASE 3.8.2","SVN production WIOD2016","SVN production OECDv2","SVN production Eora 199.082 (2023)","SVN production FIGARO April 2022","SVN production GCB 2023v26","SVN production Eurostat NAMEA","SVN consumption EXIOBASE 3.8.2","SVN consumption WIOD2016","SVN consumption OECDv2","SVN consumption Eora 199.082 (2023)","SVN consumption FIGARO April 2022","SVN consumption GCB 2023v26"
1970,,,,11.700000,,,,,,,10.903520,,
1971,,,,12.100000,,,,,,,10.474300,,
1972,,,,11.700000,,,,,,,8.946026,,
1973,,,,14.500000,,,,,,,11.066520,,
1974,,,,14.400000,,,,,,,10.626700,,
1975,,,,14.600000,,,,,,,11.624800,,
1976,,,,15.200000,,,,,,,12.566200,,
1977,,,,15,,,,,,,13.382010,,
1978,,,,16.800000,,,,,,,14.322480,,
1979,,,,18.300000,,,,,,,15.126480,,
1980,,,,18,,,,,,,14.203280,,
1981,,,,17.500000,,,,,,,14.456490,,
1982,,,,16.400000,,,,,,,13.973520,,
1983,,,,17,,,,,,,14.040870,,
1984,,,,17.400000,,,,,,,14.359760,,
1985,,,,17.400000,,,,,,,16.936990,,
1986,,,,18.300000,,,,,,,11.349900,,
1987,,,,17.700000,,,,,,,10.411200,,
1988,,,,17.500000,,,,,,,14.690340,,
1989,,,,17.400000,,,,,,,17.537400,,
1990,,,,16.800000,,15.094546,,,,,17.005330,,16.472004
1991,,,,15.500000,,13.973374,,,,,14.557510,,15.600461
1992,,,,16.100000,,13.882582,,,,,12.696160,,19.742200
1993,,,,16.100000,,14.246224,,,,,8.045301,,18.316912
1994,,,,16.500000,,14.636105,,,,,11.327140,,17.426610
1995,14.792490,,14.003180,16.200000,,15.354245,,19.951376,,16.645692,15.631790,,18.831447
1996,15.546505,,14.785618,16.900000,,15.999412,,20.025386,,16.523837,15.750460,,18.264745
1997,15.936104,,15.166187,17,,16.507022,,17.979325,,16.586567,15.878520,,18.815794
1998,15.751068,,14.996182,16.700000,,16.039042,,19.065868,,17.802796,16.176200,,19.014416
1999,15.143519,,14.448176,16,,15.412484,,19.644858,,18.568790,15.740410,,18.127106
2000,14.643072,15.508388,14.052767,16.100000,,15.053848,,17.923062,20.251589,16.905660,15.429720,,19.085297
2001,15.518658,16.852658,14.944826,17,,16.302759,,18.086518,21.191046,19.323651,16.026040,,20.131186
2002,15.707550,17.854872,15.103106,17.100000,,16.564693,,18.202316,21.911442,17.077615,16.241440,,19.514900
2003,15.671542,18.164339,15.165328,16.900000,,16.271549,,19.198093,22.751324,19.225779,16.856480,,18.929874
2004,16.133593,17.935576,15.400819,17.300000,,16.704583,,19.397130,22.490930,19.376482,17.643640,,19.157565
2005,16.249880,17.161823,15.619387,17.600000,,16.932387,,21.052646,20.960837,18.565338,17.940290,,18.988215
2006,16.538779,17.481044,15.930680,17.800000,,17.178357,,21.343621,20.978546,19.285364,18.550750,,20.933172
2007,16.322772,17.695684,15.861959,17.900000,,17.342861,,21.772380,21.955533,20.290198,19.454320,,22.860928
2008,17.307801,18.825234,16.740862,18.800000,,18.278459,16.741850,22.297156,21.793756,21.175322,20.157760,,23.366894
2009,15.461112,17.269292,15.005817,16.900000,,16.204108,15.424190,19.131006,19.804965,18.025774,17.546710,,19.377438
2010,15.604181,17.267726,15.376965,17,17.200562,16.459731,15.846402,19.027821,19.276655,18.518803,17.871960,21.005270,19.938868
2011,15.578396,17.328850,15.264915,17,17.091220,16.358786,15.280151,18.901301,18.915624,18.665750,17.855580,20.223146,21.394418
2012,14.884293,16.654031,,16.400000,16.355796,15.759567,14.464524,17.221454,17.377160,,16.962800,18.907103,18.891557
2013,14.413300,16.055584,,15.800000,15.721572,15.128262,14.146381,16.536544,16.778756,,16.326240,18.180647,18.071100
2014,12.930922,14.409519,,14.100000,14.212628,13.561306,12.596357,15.544341,15.799848,,15.068210,17.130652,17.575426
2015,12.988190,,,14.200000,14.573080,13.645485,13.042008,15.507463,,,15.327170,17.040450,17.585780
2016,13.582501,,,15,15.545262,14.458364,13.719063,15.657976,,,11.127760,17.296841,18.318142
2017,13.615165,,,14.800000,16.074024,14.616678,14.221814,16.145276,,,10.975980,17.825075,19.829299
2018,13.739512,,,15.666980,15.992557,14.519854,14.449368,16.932998,,,14.944700,18.657986,21.150046
2019,13.177406,,,15.754040,15.650289,14.039442,14.247267,16.279398,,,14.712290,18.343278,20.581380
2020,13.845852,,,15.893440,14.911913,12.854907,13.414093,17.277237,,,15.644720,17.714488,18.806117
2021,13.742639,,,16.002140,,13.059966,13.205282,16.027652,,,15.176670,,20.700829
2022,14.868386,,,17.669760,,,,16.508673,,,15.624810,,
