"Year","ESP production EXIOBASE 3.8.2","ESP production WIOD2016","ESP production OECDv2","ESP production Eora 199.082 (2023)","ESP production FIGARO April 2022","ESP production GCB 2023v26","ESP production Eurostat NAMEA","ESP consumption EXIOBASE 3.8.2","ESP consumption WIOD2016","ESP consumption OECDv2","ESP consumption Eora 199.082 (2023)","ESP consumption FIGARO April 2022","ESP consumption GCB 2023v26","ESP net_trade EXIOBASE 3.8.2","ESP net_trade WIOD2016","ESP net_trade OECDv2","ESP net_trade Eora 199.082 (2023)","ESP net_trade FIGARO April 2022","ESP net_trade GCB 2023v26"
1996,245.387063,,221.631747,259,,253.497865,,281.921617,,246.361157,307.202000,,272.145231,36.534554,,24.729410,48.202000,,18.647366
1997,265.225706,,239.941409,272,,265.832151,,287.390590,,254.671102,317.454900,,277.698224,22.164884,,14.729693,45.454900,,11.866073
1998,272.895764,,247.981792,281,,274.604895,,301.449218,,273.572277,340.643200,,291.780312,28.553455,,25.590485,59.643200,,17.175417
1999,297.348631,,267.514153,305,,298.074658,,328.629708,,299.157514,369.883900,,315.556017,31.281077,,31.643361,64.883900,,17.481359
2000,312.323084,311.656224,283.319433,317,,310.071242,,349.492821,340.868812,312.532089,389.906900,,335.255281,37.169737,29.212588,29.212656,72.906900,,25.184039
2001,313.089392,317.726364,284.826791,317,,311.808516,,351.600039,347.959821,317.602916,392.493300,,335.740089,38.510647,30.233458,32.776125,75.493300,,23.931573
2002,331.687173,338.196278,301.054869,337,,331.949764,,369.014101,367.697444,336.560941,410.990100,,358.857194,37.326928,29.501166,35.506072,73.990100,,26.907430
2003,338.769327,343.679524,308.933908,343,,336.332171,,386.250686,391.554286,358.305034,430.985600,,358.650286,47.481359,47.874762,49.371126,87.985600,,22.318115
2004,356.631174,356.073744,326.590073,359,,353.010950,,416.182376,419.469943,382.959107,456.978400,,385.580798,59.551202,63.396198,56.369034,97.978400,,32.569848
2005,371.353954,367.776109,338.861756,373,,368.338139,,439.400836,442.629372,406.232608,475.906800,,411.235672,68.046883,74.853263,67.370852,102.906800,,42.897533
2006,364.244693,359.909540,330.797401,363,,359.653424,,442.773591,455.866828,414.394520,478.463900,,416.306560,78.528898,95.957288,83.597118,115.463900,,56.653136
2007,378.395392,374.957504,342.693468,372,,367.399091,,469.633448,472.701929,428.311556,495.176100,,428.441692,91.238056,97.744425,85.618088,123.176100,,61.042601
2008,347.207741,348.386197,315.996310,340,,335.887271,344.335370,425.851320,440.304822,394.516455,470.433700,,393.270301,78.643579,91.918625,78.520146,130.433700,,57.383030
2009,309.869330,308.149870,281.218358,300,,296.500276,304.669283,359.275965,368.968596,340.814519,401.920800,,345.547098,49.406634,60.818726,59.596161,101.920800,,49.046822
2010,296.639433,295.044683,267.082639,287,290.748622,282.937099,291.678320,334.153170,351.988605,329.947862,398.828400,379.672937,328.190077,37.513738,56.943922,62.865223,111.828400,88.924315,45.252977
2011,297.687888,296.508727,269.482035,288,291.341641,283.799321,292.821244,325.127407,343.042786,320.701951,386.720500,362.795889,320.995378,27.439519,46.534059,51.219916,98.720500,71.454248,37.196057
2012,292.386623,292.142425,,283,285.527319,278.060410,287.278790,301.512227,316.871889,,369.996200,334.109285,295.093728,9.125604,24.729464,,86.996200,48.581966,17.033319
2013,266.065299,266.557710,,255,259.463833,251.940318,261.180895,278.230867,292.401364,,341.442900,296.266507,275.641228,12.165568,25.843654,,86.442900,36.802674,23.700910
2014,263.957152,270.385533,,258,263.076999,254.179717,264.607572,283.478324,299.998928,,340.702700,304.857583,281.017550,19.521172,29.613395,,82.702700,41.780584,26.837833
2015,278.897451,,,274,280.370480,270.767456,282.005816,291.848538,,,352.367900,318.256010,281.666342,12.951087,,,78.367900,37.885530,10.898886
2016,269.808147,,,263,270.213289,259.629381,271.649557,282.736285,,,286.042500,304.429799,273.678868,12.928138,,,23.042500,34.216510,14.049487
2017,285.637326,,,278,284.366985,273.592191,285.780449,292.013082,,,302.275400,318.532124,293.601767,6.375756,,,24.275400,34.165139,20.009576
2018,279.611695,,,298.613200,279.972008,268.600525,280.958072,301.364506,,,338.894000,325.090821,296.840875,21.752811,,,40.280800,45.118813,28.240349
2019,267.950379,,,303.934400,262.692992,250.660790,263.535275,278.334683,,,332.312900,310.060749,281.757086,10.384304,,,28.378500,47.367757,31.096295
2020,267.501188,,,307.154800,213.314569,213.625432,218.146574,283.284768,,,357.109200,253.314369,250.936816,15.783581,,,49.954400,39.999800,37.311384
2021,268.513972,,,309.532600,,230.269459,233.699707,291.303710,,,343.550100,,272.184187,22.789738,,,34.017500,,41.914728
2022,269.721443,,,251.129600,,,,292.594636,,,303.536600,,,22.873194,,,52.407000,,
