"Year","GBR production EXIOBASE 3.8.2","GBR production WIOD2016","GBR production OECDv2","GBR production Eora 199.082 (2023)","GBR production FIGARO April 2022","GBR production GCB 2023v26","GBR production Defra 2023 (official)","GBR production Eurostat NAMEA","GBR consumption EXIOBASE 3.8.2","GBR consumption WIOD2016","GBR consumption OECDv2","GBR consumption Eora 199.082 (2023)","GBR consumption FIGARO April 2022","GBR consumption GCB 2023v26","GBR consumption Defra 2023 (official)","GBR net_trade EXIOBASE 3.8.2","GBR net_trade WIOD2016","GBR net_trade OECDv2","GBR net_trade Eora 199.082 (2023)","GBR net_trade FIGARO April 2022","GBR net_trade GCB 2023v26","GBR net_trade Defra 2023 (official)"
2012,533.374001,537.302919,,496,558.037268,487.476776,558.037200,538.096946,653.671210,681.063862,,722.549200,712.218505,635.758630,624,120.297209,143.760943,,226.549200,154.181237,148.281855,65.962800
2013,518.098494,524.550144,,485,548.976899,477.611268,548.976500,525.454320,634.655860,682.896824,,708.944400,721.211555,618.388904,619,116.557365,158.346680,,223.944400,172.234656,140.777637,70.023500
2014,480.973510,488.331985,,446,519.108123,438.807081,519.109900,489.416099,630.511092,649.028075,,654.325800,706.983859,596.451067,601,149.537582,160.696090,,208.325800,187.875736,157.643986,81.890100
2015,467.488401,,,430,509.969722,422.460794,509.969700,474.938062,626.192377,,,642.725600,690.713832,588.640524,597,158.703976,,,212.725600,180.744110,166.179731,87.030300
2016,441.461317,,,407,490.826915,399.430131,490.826600,451.692114,577.942582,,,551.445300,648.206969,573.530964,541,136.481265,,,144.445300,157.380054,174.100833,50.173400
2017,427.811052,,,395,474.552412,387.367141,474.551900,435.882776,542.402390,,,541.883700,621.908058,546.267359,523,114.591338,,,146.883700,147.355646,158.900217,48.448100
2018,420.292399,,,401.259500,476.894262,379.729755,476.894300,432.122334,551.535603,,,550.582900,626.401755,533.604313,537,131.243204,,,149.323400,149.507493,153.874558,60.105700
2019,410.663183,,,390.244800,464.316220,364.753306,464.316500,418.505901,536.831824,,,533.205400,627.892978,513.828024,517,126.168641,,,142.960600,163.576758,149.074718,52.683500
2020,411.560035,,,382.743900,400.198722,326.263199,400.197900,,546.655855,,,557.910000,552.941297,460.805065,443,135.095820,,,175.166100,152.742575,134.541866,42.802100
2021,409.308602,,,377.733400,,347.465051,427.910800,,564.383421,,,538.122800,,513.400081,,155.074819,,,160.389400,,165.935030,
2022,383.055531,,,401.032100,,,,,520.055775,,,560.869400,,,,137.000244,,,159.837300,,,
