"Year","BHR production Eora 199.082 (2023)","BHR production GCB 2023v26"
1970,2.920000,
1971,3.310000,
1972,4.140000,
1973,5.960000,
1974,5.880000,
1975,6.240000,
1976,7.080000,
1977,7.990000,
1978,8.310000,
1979,8.700000,
1980,8.460000,
1981,9.120000,
1982,10.500000,
1983,8.910000,
1984,9.920000,
1985,10.700000,
1986,12.100000,
1987,12.500000,
1988,13.300000,
1989,12.800000,
1990,13.600000,11.555729
1991,13.100000,11.391223
1992,12.200000,10.492517
1993,16.300000,16.839962
1994,16.400000,14.443015
1995,16.500000,14.823117
1996,17.200000,16.018645
1997,19.100000,17.288859
1998,20.100000,18.366355
1999,19.900000,18.314831
2000,20.400000,19.233764
2001,15.800000,15.374893
2002,17.600000,15.868013
2003,18.200000,16.769491
2004,19.200000,17.883505
2005,21.300000,19.804053
2006,21.200000,19.421150
2007,29.200000,26.771124
2008,32.100000,29.681318
2009,30.600000,28.098071
2010,31.500000,29.075435
2011,30.900000,28.467646
2012,28.900000,27.118990
2013,33.700000,31.157657
2014,33.800000,30.899729
2015,27,32.459651
2016,26.600000,31.559503
2017,26.600000,32.835184
2018,30.283520,32.636948
2019,29.251630,37.583133
2020,28.345620,37.395950
2021,27.748350,38.113698
2022,18.411300,
