"Year","DEU production EXIOBASE 3.8.2","DEU production WIOD2016","DEU production OECDv2","DEU production Eora 199.082 (2023)","DEU production FIGARO April 2022","DEU production GCB 2023v26","DEU production Eurostat NAMEA"
1970,,,,1080,,,
1971,,,,1090,,,
1972,,,,1100,,,
1973,,,,1140,,,
1974,,,,1120,,,
1975,,,,1050,,,
1976,,,,1140,,,
1977,,,,1100,,,
1978,,,,1130,,,
1979,,,,1170,,,
1980,,,,1150,,,
1981,,,,1090,,,
1982,,,,1060,,,
1983,,,,1050,,,
1984,,,,1070,,,
1985,,,,1080,,,
1986,,,,1080,,,
1987,,,,1070,,,
1988,,,,1070,,,
1989,,,,1050,,,
1990,,,,1060,,1054.740644,
1991,,,,1020,,1016.870291,
1992,,,,977,,969.474183,
1993,,,,967,,959.367198,
1994,,,,950,,943.184837,
1995,954.174782,,874.192161,950,,939.897145,
1996,984.661226,,902.724809,970,,959.653348,
1997,956.485439,,871.282982,942,,931.486946,
1998,950.113553,,865.719443,934,,923.466993,
1999,922.561633,,832.043237,907,,895.402128,
2000,916.507877,1010.032541,829.404536,911,,898.938036,
2001,931.483268,1036.681378,847.835595,926,,915.242152,
2002,925.229536,1041.217809,835.804450,909,,898.834509,
2003,934.928510,1045.430330,836.791709,910,,899.858375,
2004,931.297806,1019.714485,820.187202,895,,885.632528,
2005,920.314733,980.189349,803.555860,875,,865.470707,
2006,943.322552,988.849483,816.215077,887,,877.497665,
2007,922.828657,960.744700,784.405602,860,,850.229804,
2008,932.719733,925.824958,791.189284,862,,852.857863,925.819160
2009,869.366510,853.758337,734.757089,796,,788.285820,854.720257
2010,915.460246,898.560108,773.193962,842,899.065006,831.129584,898.947061
2011,890.787072,871.377611,745.367816,819,871.078409,807.613932,871.048659
2012,895.194136,880.920315,,823,881.082305,812.815530,881.476989
2013,912.924554,896.745307,,839,896.616432,833.804367,896.967651
2014,876.019171,855.312280,,800,844.155001,794.738546,844.124748
2015,889.670902,,,804,858.648911,798.084702,858.627258
2016,894.272378,,,809,857.631450,801.744547,857.556529
2017,879.385278,,,805,846.930068,785.985851,846.865015
2018,851.559085,,,805.572500,823.172038,754.811138,823.743558
2019,797.342747,,,796.417100,775.622857,707.491365,768.101447
2020,771.842331,,,789.789500,698.319816,647.252333,673.839299
2021,777.651010,,,783.653500,,678.798872,707.545909
2022,778.675558,,,765.180400,,,
