"Year","ZWE production Eora 199.082 (2023)","ZWE production GCB 2023v26"
1970,15.600000,
1971,15.200000,
1972,14.700000,
1973,16.900000,
1974,16.800000,
1975,13.100000,
1976,15.700000,
1977,14.300000,
1978,13.100000,
1979,14.600000,
1980,13.500000,
1981,12.700000,
1982,10.400000,
1983,10.400000,
1984,10.700000,
1985,11.400000,
1986,14.100000,
1987,15.600000,
1988,16.400000,
1989,16.100000,
1990,15.600000,15.551593
1991,16,15.501544
1992,16.900000,16.713458
1993,15.500000,16.046611
1994,17.400000,17.393590
1995,17.500000,15.028392
1996,18.700000,14.908902
1997,19.600000,13.911984
1998,21.100000,14.131139
1999,26.300000,15.727769
2000,25.400000,13.818202
2001,21.800000,12.508722
2002,19.600000,11.895839
2003,16.400000,10.609583
2004,13.400000,9.428642
2005,13.600000,10.698489
2006,11.400000,10.365461
2007,10.700000,9.835161
2008,8.400000,7.720094
2009,6,8.249769
2010,8.390000,8.754012
2011,10.200000,10.363199
2012,8.310000,11.253769
2013,12.100000,11.671374
2014,12.400000,11.946148
2015,12.900000,12.254954
2016,12.800000,10.533453
2017,13.600000,9.295629
2018,12.415830,10.714598
2019,10.865910,9.775428
2020,11.001360,7.849639
2021,11.164430,8.388339
2022,11.263030,
