"Year","LBN production Eora 199.082 (2023)","LBN consumption Eora 199.082 (2023)","LBN net_trade Eora 199.082 (2023)"
1970,9.970000,9.287966,-0.682034
1971,11.900000,10.846640,-1.053360
1972,12.800000,11.322480,-1.477520
1973,13.900000,12.390540,-1.509460
1974,13.900000,12.644700,-1.255300
1975,12.500000,11.890310,-0.609690
1976,12,11.441950,-0.558050
1977,10.100000,11.161590,1.061590
1978,10,11.161590,1.161590
1979,12.200000,14.059610,1.859610
1980,10.300000,12.484120,2.184120
1981,12.200000,13.494800,1.294800
1982,10.100000,11.218330,1.118330
1983,10.700000,11.642070,0.942070
1984,9.690000,10.192050,0.502050
1985,10.100000,11.697270,1.597270
1986,9.520000,7.812045,-1.707955
1987,9.570000,8.139754,-1.430246
1988,9.080000,10.869750,1.789750
1989,9.330000,12.336520,3.006520
1990,9.330000,12.033350,2.703350
1991,9.450000,13.043720,3.593720
1992,11.400000,14.305940,2.905940
1993,12.700000,12.509000,-0.191000
1994,13.200000,15.661080,2.461080
1995,14.800000,20.385410,5.585410
1996,15.100000,20.551430,5.451430
1997,16.100000,21.068350,4.968350
1998,17.500000,21.461070,3.961070
1999,16.800000,20.920320,4.120320
2000,15.500000,19.397570,3.897570
2001,16.500000,20.971970,4.471970
2002,16.400000,20.103830,3.703830
2003,18.700000,23.417860,4.717860
2004,17.400000,22.709260,5.309260
2005,16.900000,21.920350,5.020350
2006,15,20.676560,5.676560
2007,14,19.086730,5.086730
2008,17.700000,23.362300,5.662300
2009,21.400000,27.241040,5.841040
2010,20.400000,27.133830,6.733830
2011,20.700000,27.997100,7.297100
2012,22.400000,29.872380,7.472380
2013,23.100000,30.231930,7.131930
2014,24.700000,31.601200,6.901200
2015,18.200000,25.408710,7.208710
2016,17.800000,23.817390,6.017390
2017,17.700000,24.421180,6.721180
2018,17.917110,26.179520,8.262410
2019,16.911310,25.343850,8.432540
2020,16.175160,26.395860,10.220700
2021,16.051160,26.269610,10.218450
2022,17.700000,29.257790,11.557790
