"Year","CAN production EXIOBASE 3.8.2","CAN production WIOD2016","CAN production OECDv2","CAN production Eora 199.082 (2023)","CAN production FIGARO April 2022","CAN production GCB 2023v26","CAN consumption EXIOBASE 3.8.2","CAN consumption WIOD2016","CAN consumption OECDv2","CAN consumption Eora 199.082 (2023)","CAN consumption FIGARO April 2022","CAN consumption GCB 2023v26","CAN net_trade EXIOBASE 3.8.2","CAN net_trade WIOD2016","CAN net_trade OECDv2","CAN net_trade Eora 199.082 (2023)","CAN net_trade FIGARO April 2022","CAN net_trade GCB 2023v26"
1970,,,,344,,,,,,344.770700,,,,,,0.770700,,
1971,,,,352,,,,,,354.433100,,,,,,2.433100,,
1972,,,,379,,,,,,384.833500,,,,,,5.833500,,
1973,,,,380,,,,,,392.591400,,,,,,12.591400,,
1974,,,,384,,,,,,399.489700,,,,,,15.489700,,
1975,,,,387,,,,,,406.828600,,,,,,19.828600,,
1976,,,,388,,,,,,412.955700,,,,,,24.955700,,
1977,,,,397,,,,,,417.691800,,,,,,20.691800,,
1978,,,,405,,,,,,423.686800,,,,,,18.686800,,
1979,,,,430,,,,,,442.125100,,,,,,12.125100,,
1980,,,,431,,,,,,436.325100,,,,,,5.325100,,
1981,,,,418,,,,,,425.616400,,,,,,7.616400,,
1982,,,,401,,,,,,404.387000,,,,,,3.387000,,
1983,,,,397,,,,,,404.413600,,,,,,7.413600,,
1984,,,,417,,,,,,413.799900,,,,,,-3.200100,,
1985,,,,414,,,,,,430.687600,,,,,,16.687600,,
1986,,,,398,,,,,,389.672700,,,,,,-8.327300,,
1987,,,,423,,,,,,414.970300,,,,,,-8.029700,,
1988,,,,445,,,,,,458.118400,,,,,,13.118400,,
1989,,,,451,,,,,,493.579000,,,,,,42.579000,,
1990,,,,467,,458.503095,,,,491.867100,,483.279559,,,,24.867100,,24.776464
1991,,,,457,,450.159602,,,,486.328500,,482.455084,,,,29.328500,,32.295482
1992,,,,471,,464.012832,,,,487.127700,,495.559688,,,,16.127700,,31.546856
1993,,,,470,,464.554171,,,,472.208700,,482.682842,,,,2.208700,,18.128671
1994,,,,486,,479.033003,,,,485.611200,,487.912419,,,,-0.388800,,8.879416
1995,467.434300,,460.118936,498,,491.825697,422.330872,,420.572792,492.934800,,496.028199,-45.103428,,-39.546145,-5.065200,,4.202501
1996,481.347640,,475.234707,514,,508.196664,427.976822,,431.338194,497.482000,,505.609579,-53.370818,,-43.896513,-16.518000,,-2.587085
1997,497.614942,,491.765086,528,,522.577290,452.611400,,460.979424,508.453600,,537.696374,-45.003542,,-30.785661,-19.546400,,15.119084
1998,504.379808,,495.853685,537,,530.276273,430.828614,,464.883280,486.809200,,541.417488,-73.551194,,-30.970406,-50.190800,,11.141215
1999,515.328698,,507.505664,553,,544.482079,459.058434,,473.688212,492.733200,,541.965400,-56.270263,,-33.817452,-60.266800,,-2.516679
2000,537.494293,527.300081,528.229950,575,,567.096101,476.693985,456.567883,490.656425,506.711300,,580.913798,-60.800309,-70.732197,-37.573525,-68.288700,,13.817697
2001,531.564155,524.285936,519.936496,568,,559.147040,461.370365,449.829790,481.882158,498.818400,,559.606969,-70.193790,-74.456146,-38.054338,-69.181600,,0.459928
2002,537.171849,529.660471,526.056103,574,,564.373836,471.702927,457.504066,490.393576,506.033000,,582.856186,-65.468921,-72.156405,-35.662528,-67.967000,,18.482351
2003,555.496605,548.110864,548.734700,591,,581.427172,501.501393,492.579552,526.900220,542.699800,,577.371640,-53.995212,-55.531311,-21.834480,-48.300200,,-4.055532
2004,549.140828,536.794658,543.080571,590,,579.689422,513.693586,496.511758,536.815415,545.600200,,584.064824,-35.447242,-40.282900,-6.265156,-44.399800,,4.375402
2005,565.623366,556.952113,548.705283,580,,574.763646,537.780788,526.394871,552.962238,547.440900,,608.946856,-27.842578,-30.557242,4.256955,-32.559100,,34.183210
