"Year","AUS production EXIOBASE 3.8.2","AUS production WIOD2016","AUS production OECDv2","AUS production Eora 199.082 (2023)","AUS production FIGARO April 2022","AUS production GCB 2023v26","AUS consumption EXIOBASE 3.8.2","AUS consumption WIOD2016","AUS consumption OECDv2","AUS consumption Eora 199.082 (2023)","AUS consumption FIGARO April 2022","AUS consumption GCB 2023v26"
1970,,,,160,,,,,,133.523500,,
1971,,,,165,,,,,,137.352300,,
1972,,,,169,,,,,,141.153900,,
1973,,,,182,,,,,,162.309600,,
1974,,,,181,,,,,,168.235900,,
1975,,,,184,,,,,,175.992400,,
1976,,,,182,,,,,,190.317700,,
1977,,,,195,,,,,,209.081400,,
1978,,,,209,,,,,,134.544000,,
1979,,,,213,,,,,,196.465700,,
1980,,,,229,,,,,,220.413900,,
1981,,,,237,,,,,,235.339500,,
1982,,,,240,,,,,,229.206400,,
1983,,,,234,,,,,,218.555000,,
1984,,,,245,,,,,,229.319500,,
1985,,,,252,,,,,,225.446100,,
1986,,,,251,,,,,,209.212200,,
1987,,,,266,,,,,,227.162400,,
1988,,,,273,,,,,,264.965200,,
1989,,,,292,,,,,,285.319100,,
1990,,,,279,,278.160268,,,,281.203200,,243.324148
1991,,,,281,,279.534032,,,,280.150000,,243.937345
1992,,,,286,,284.528773,,,,269.093500,,246.536321
1993,,,,290,,288.873507,,,,235.389600,,247.452653
1994,,,,295,,293.700920,,,,265.186100,,256.014425
1995,298.224632,,286.697364,306,,305.055586,300.307709,,271.224846,298.604500,,261.645100
1996,308.886062,,297.196275,313,,311.940494,293.689205,,285.418356,303.869800,,268.020716
1997,316.407138,,304.888996,322,,320.332758,305.414875,,293.910906,297.179100,,275.645955
1998,337.536798,,324.479696,336,,334.135545,323.680200,,318.929722,327.714200,,295.575891
1999,342.905817,,330.601029,345,,343.959206,332.476330,,323.541193,335.720100,,296.615555
2000,349.072576,376.013316,336.461819,351,,350.007696,323.631937,357.481132,330.449190,338.191000,,290.901091
2001,355.457835,387.700800,342.808824,359,,357.783390,328.655310,370.181957,330.421979,335.902300,,299.606615
2002,362.647232,401.047557,347.450211,363,,362.536534,355.917624,403.280647,353.939139,345.340300,,318.183989
2003,365.429484,408.627845,354.573100,371,,369.441741,359.728654,427.091414,376.461643,369.425800,,334.779224
2004,381.655427,411.916870,369.489068,384,,382.873454,389.517618,451.190508,401.464542,399.825900,,344.480726
2005,387.384168,408.336244,372.960600,388,,386.205375,421.527059,458.866337,414.465923,393.809600,,343.993719
2006,393.217057,411.165147,376.510046,394,,392.436333,425.322362,461.911955,415.157616,401.556500,,356.046186
2007,403.587068,424.657013,386.981733,402,,399.676260,445.457802,489.778332,433.858120,425.724300,,367.324710
2008,407.493237,417.947385,389.745400,406,,404.255700,437.140431,468.014936,429.532653,402.387800,,362.790984
2009,414.225176,435.045558,395.607145,409,,407.477156,446.789550,479.333690,426.558400,412.812000,,394.426417
2010,407.598934,428.197963,387.954176,408,415.351735,405.512170,453.706571,489.940715,431.829632,423.599900,496.428084,394.981824
2011,406.127967,421.839871,389.023136,405,413.009504,404.256789,473.323200,506.184031,445.875437,433.779200,507.771260,394.038707
2012,405.822465,420.131093,,408,411.921653,406.579731,468.445301,505.284006,,440.411300,519.002512,401.700393
2013,402.168338,414.142482,,399,406.428216,399.288011,457.983646,486.830784,,428.540400,489.501345,380.625620
2014,393.000468,404.864841,,394,396.293123,393.049371,441.855101,471.591483,,424.468700,467.878950,380.008017
2015,400.776303,,,404,402.787932,401.378360,439.771542,,,432.035700,466.064363,381.730088
2016,408.568911,,,414,412.176158,410.253593,445.304196,,,408.467800,456.877969,371.360917
2017,411.356908,,,418,417.072578,413.655465,452.320177,,,418.934900,465.473867,377.180695
2018,412.984988,,,415.066800,414.654074,415.350720,448.835664,,,401.677400,453.194458,364.888214
2019,429.460200,,,414.257600,414.656974,415.811270,443.036296,,,398.111700,429.883396,362.199257
2020,435.599618,,,414.415400,349.794552,396.685170,454.307544,,,417.377800,374.263807,353.473620
2021,453.153823,,,415.056700,,386.606936,477.738442,,,401.818100,,338.308831
2022,464.197208,,,452.758900,,,483.335577,,,429.738800,,
