"Year","BMU production Eora 199.082"
1990,0.320000
1991,0.320000
1992,0.240000
1993,0.270000
1994,0.270000
1995,0.260000
1996,0.300000
1997,0.280000
1998,0.280000
1999,0.290000
2000,0.280000
2001,0.240000
2002,0.270000
2003,0.270000
2004,0.320000
2005,0.270000
2006,0.270000
2007,0.380000
2008,0.260000
2009,0.320000
2010,0.340000
2011,0.360000
2012,0.610000
2013,0.380000
2014,0.390000
2015,0.420000
2016,0.420000
2017,0.350000
2018,0.359285
2019,0.350024
2020,0.350024
2021,0.350024
2022,
