"Year","AGO production Eora 199.082 (2023)","AGO consumption Eora 199.082 (2023)"
1970,3.610000,2.847836
1971,3.430000,2.352346
1972,4.530000,2.861698
1973,4.900000,2.967136
1974,4.900000,2.898186
1975,4.440000,2.847349
1976,3.310000,2.097969
1977,3.560000,2.916265
1978,5.430000,4.292495
1979,5.520000,4.509528
1980,5.360000,4.420762
1981,5.300000,4.278584
1982,4.670000,3.858215
1983,5.140000,3.800149
1984,5.020000,3.436598
1985,4.710000,4.634356
1986,4.670000,1.787630
1987,5.830000,2.409253
1988,5.090000,3.909868
1989,4.960000,5.185293
1990,5.130000,5.255924
1991,5.110000,5.906629
1992,5.210000,5.783085
1993,5.800000,1.805613
1994,3.910000,2.298933
1995,11,7.049570
1996,10.500000,6.661663
1997,7.400000,6.364720
1998,7.320000,5.732406
1999,9.190000,5.928528
2000,9.570000,6.897544
2001,9.730000,7.737472
2002,12.700000,9.266330
2003,9.050000,8.057672
2004,18.800000,13.605060
2005,19.100000,14.106190
2006,22.200000,14.904180
2007,25.100000,19.246200
2008,25.600000,21.585310
2009,27.600000,26.844480
2010,28.900000,23.928530
2011,30.200000,24.076010
2012,33.300000,26.117280
2013,32.500000,27.272590
2014,34.600000,28.224790
2015,36.700000,29.330660
2016,38,35.507950
2017,38.800000,36.152710
2018,38.407840,31.828630
2019,39.045480,30.903680
2020,39.950030,31.535500
2021,41.187730,31.873360
2022,40.402060,31.702600
