"Year","IRQ production Eora 199.082 (2023)","IRQ consumption Eora 199.082 (2023)","IRQ net_trade Eora 199.082 (2023)"
1970,24.100000,23.075720,-1.024280
1971,29.100000,27.566940,-1.533060
1972,29.800000,27.880370,-1.919630
1973,30.900000,28.631340,-2.268660
1974,31.200000,28.502580,-2.697420
1975,33.500000,31.727390,-1.772610
1976,49.400000,47.561920,-1.838080
1977,44.300000,43.568130,-0.731870
1978,42.900000,42.067170,-0.832830
1979,54.100000,53.049140,-1.050860
1980,46.700000,45.942330,-0.757670
1981,32.400000,34.256720,1.856720
1982,30.900000,33.225200,2.325200
1983,38.900000,41.071360,2.171360
1984,40.300000,41.222610,0.922610
1985,44.900000,49.162600,4.262600
1986,48,36.637980,-11.362020
1987,53,42.534420,-10.465580
1988,68.400000,69.322280,0.922280
1989,73.800000,80.254810,6.454810
1990,47.900000,53.540070,5.640070
1991,45.600000,46.261330,0.661330
1992,59.700000,57.954500,-1.745500
1993,65,56.302070,-8.697930
1994,72.300000,62.786260,-9.513740
1995,75.200000,61.387870,-13.812130
1996,70.500000,48.589740,-21.910260
1997,69.300000,36.102520,-33.197480
1998,73.300000,36.334840,-36.965160
1999,72.900000,35.516030,-37.383970
2000,72.900000,35.148110,-37.751890
2001,85.900000,49.102530,-36.797470
2002,88.500000,50.953230,-37.546770
2003,91.500000,63.148880,-28.351120
2004,114,88.516530,-25.483470
2005,114,90.871310,-23.128690
2006,99,81.944110,-17.055890
2007,62.200000,57.552000,-4.648000
2008,92.900000,85.568320,-7.331680
2009,104,107.472600,3.472600
2010,112,113.640300,1.640300
2011,134,131.391500,-2.608500
2012,152,148.704600,-3.295400
2013,164,165.169600,1.169600
2014,167,167.376500,0.376500
2015,169,170.055800,1.055800
2016,190,187.803000,-2.197000
2017,194,196.332000,2.332000
2018,182.393100,200.231600,17.838500
2019,188.038000,201.267900,13.229900
2020,196.179000,212.908800,16.729800
2021,202.856900,210.846200,7.989300
2022,198.249100,222.003900,23.754800
