"Year","IRQ production Eora 199.082 (2023)"
1970,24.100000
1971,29.100000
1972,29.800000
1973,30.900000
1974,31.200000
1975,33.500000
1976,49.400000
1977,44.300000
1978,42.900000
1979,54.100000
1980,46.700000
1981,32.400000
1982,30.900000
1983,38.900000
1984,40.300000
1985,44.900000
1986,48
1987,53
1988,68.400000
1989,73.800000
1990,47.900000
1991,45.600000
1992,59.700000
1993,65
1994,72.300000
1995,75.200000
1996,70.500000
1997,69.300000
1998,73.300000
1999,72.900000
2000,72.900000
2001,85.900000
2002,88.500000
2003,91.500000
2004,114
2005,114
2006,99
2007,62.200000
2008,92.900000
2009,104
2010,112
2011,134
2012,152
2013,164
2014,167
2015,169
2016,190
2017,194
2018,182.393100
2019,188.038000
2020,196.179000
2021,202.856900
2022,198.249100
