"Year","BEL production EXIOBASE 3.8.2","BEL production WIOD2016","BEL production OECDv2","BEL production Eora 199.082 (2023)","BEL production FIGARO April 2022","BEL production GCB 2023v26","BEL production Eurostat NAMEA","BEL consumption EXIOBASE 3.8.2","BEL consumption WIOD2016","BEL consumption OECDv2","BEL consumption Eora 199.082 (2023)","BEL consumption FIGARO April 2022","BEL consumption GCB 2023v26","BEL net_trade EXIOBASE 3.8.2","BEL net_trade WIOD2016","BEL net_trade OECDv2","BEL net_trade Eora 199.082 (2023)","BEL net_trade FIGARO April 2022","BEL net_trade GCB 2023v26"
1970,,,,155,,,,,,,159.651800,,,,,,4.651800,,
1971,,,,147,,,,,,,149.920900,,,,,,2.920900,,
1972,,,,160,,,,,,,159.195600,,,,,,-0.804400,,
1973,,,,166,,,,,,,159.078200,,,,,,-6.921800,,
1974,,,,163,,,,,,,147.309100,,,,,,-15.690900,,
1975,,,,145,,,,,,,134.280800,,,,,,-10.719200,,
1976,,,,153,,,,,,,140.231500,,,,,,-12.768500,,
1977,,,,146,,,,,,,136.869600,,,,,,-9.130400,,
1978,,,,154,,,,,,,142.670500,,,,,,-11.329500,,
1979,,,,164,,,,,,,148.351300,,,,,,-15.648700,,
1980,,,,156,,,,,,,138.320100,,,,,,-17.679900,,
1981,,,,144,,,,,,,123.261100,,,,,,-20.738900,,
1982,,,,134,,,,,,,111.333200,,,,,,-22.666800,,
1983,,,,117,,,,,,,97.198570,,,,,,-19.801430,,
1984,,,,123,,,,,,,98.127330,,,,,,-24.872670,,
1985,,,,120,,,,,,,100.713900,,,,,,-19.286100,,
1986,,,,117,,,,,,,84.927070,,,,,,-32.072930,,
1987,,,,117,,,,,,,84.306690,,,,,,-32.693310,,
1988,,,,116,,,,,,,98.140700,,,,,,-17.859300,,
1989,,,,122,,,,,,,105.815200,,,,,,-16.184800,,
1990,,,,122,,120.292799,,,,,108.299900,,154.963176,,,,-13.700100,,34.670377
1991,,,,125,,123.362626,,,,,111.638300,,155.689328,,,,-13.361700,,32.326701
1992,,,,124,,122.488488,,,,,109.733100,,172.413109,,,,-14.266900,,49.924621
1993,,,,123,,121.423876,,,,,100.259600,,162.760358,,,,-22.740400,,41.336482
