"Year","NGA production Eora 199.082 (2023)","NGA production GCB 2023v26"
1970,22.200000,
1971,32.900000,
1972,42.100000,
1973,50.200000,
1974,63,
1975,48.100000,
1976,56,
1977,51.300000,
1978,49,
1979,71.100000,
1980,69,
1981,66.800000,
1982,66.400000,
1983,60.700000,
1984,70.400000,
1985,70.700000,
1986,74.300000,
1987,60,
1988,71.800000,
1989,43.500000,
1990,40.700000,38.857279
1991,43.700000,41.929195
1992,48,46.265317
1993,46.500000,44.814164
1994,36.200000,80.462207
1995,36.800000,84.343391
1996,40.600000,97.889667
1997,43.300000,95.781511
1998,39.300000,86.492635
1999,41.800000,84.992159
2000,77.200000,96.846745
2001,87.800000,100.192218
2002,95.700000,89.918621
2003,104,100.087684
2004,107,94.836950
2005,107,101.474233
2006,100,89.950140
2007,96.200000,81.940547
2008,96.900000,87.273663
2009,77.400000,77.229232
2010,92.500000,111.426823
2011,96.100000,125.429284
2012,98.600000,109.065934
2013,97.900000,116.344833
2014,96,122.980448
2015,113,109.217160
2016,118,116.932580
2017,121,112.759183
2018,133.134600,105.599597
2019,138.138500,127.337628
2020,141.982900,123.822165
2021,145.405300,130.947995
2022,157.485600,
